Fund Codes,Tema
YAY,"Yabancı Fonlar, Teknoloji, Yerli Hisse"
YBE,Eurobond
YCH,Bankacılık
YCP,Bankacılık
YDI,Yerli Hisse
YEF,"Tematik, Yerli Hisse"
YGM,Emtia
YHB,"Tematik, Yerli Hisse"
YHS,Yerli Hisse
YHZ,"Tematik, Teknoloji, Yerli Hisse"
YJH,Tematik
YKT,Altın
YLC,"Tematik, Gıda"
YLE,"Tematik, Sürdürülebilirlik, Yerli Hisse"
YLO,"Tematik, Elektrikli Araç"
YP1,Gümüş
YQA,Altın
YTD,Yabancı Fonlar
YTV,"Tematik, Gıda"
YZC,"Tematik, Teknoloji"
YZG,Gümüş
YZH,"Tematik, Yerli Hisse, Bankacılık"
ZCD,Altın
ZCN,Emtia
ZFB,"Tematik, Teknoloji"
ZJL,"Tematik, Yerli Hisse"
ZJV,"Tematik, Yerli Hisse"
ZLH,"Tematik, Yerli Hisse"
ZMY,"Tematik, Teknoloji, Metaverse"
ZPE,Yerli Hisse
ZSF,"Yabancı Fonlar, Yabancı Hisse"
ZSG,"Tematik, Sürdürülebilirlik"
