,Kod,Isim,ForexBuying,ForexSelling,BanknoteBuying,BanknoteSelling,CrossRateUSD,CrossRateOther,Tarih
0,USD,ABD DOLARI,5.9478,5.9585,5.9436,5.9674,,,2020-01-02
1,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2439,,,,,1.38481,2020-01-02
2,QAR,KATAR RİYALİ,1.6243,1.6456,,,3.6411,,2020-01-02
3,PKR,PAKİSTAN RUPİSİ,0.03819,0.03869,,,154.89,,2020-01-02
4,CNY,ÇİN YUANI,0.84938,0.86050,,,6.9632,,2020-01-02
5,IRR,İRAN RİYALİ,0.01408,0.01427,,,42000,,2020-01-02
6,RON,RUMEN LEYİ,1.3854,1.4036,,,4.2690,,2020-01-02
7,BGN,BULGAR LEVASI,3.3877,3.4320,,,1.7459,,2020-01-02
8,JPY,JAPON YENİ,5.4543,5.4905,5.4342,5.5113,108.78,,2020-01-02
9,SAR,SUUDİ ARABİSTAN RİYALİ,1.5856,1.5884,1.5737,1.6003,3.7512,,2020-01-02
10,RUB,RUS RUBLESİ,0.09572,0.09697,,,61.79,,2020-01-02
11,KWD,KUVEYT DİNARI,19.5085,19.7638,19.2159,20.0602,,3.2985,2020-01-02
12,NOK,NORVEÇ KRONU,0.67541,0.67995,0.67494,0.68152,8.7845,,2020-01-02
13,DKK,DANİMARKA KRONU,0.89050,0.89488,0.88988,0.89693,6.6688,,2020-01-02
14,EUR,EURO,6.6630,6.6750,6.6584,6.6850,,1.1203,2020-01-02
15,GBP,İNGİLİZ STERLİNİ,7.8464,7.8873,7.8409,7.8991,,1.3215,2020-01-02
16,AUD,AVUSTRALYA DOLARI,4.1521,4.1792,4.1330,4.2043,1.4291,,2020-01-02
17,SEK,İSVEÇ KRONU,0.63323,0.63979,0.63279,0.64126,9.3527,,2020-01-02
18,CAD,KANADA DOLARI,4.5735,4.5941,4.5566,4.6116,1.2987,,2020-01-02
19,CHF,İSVİÇRE FRANGI,6.1180,6.1572,6.1088,6.1665,0.9699,,2020-01-02
20,JPY,JAPON YENİ,5.5057,5.5422,5.4854,5.5632,108.04,,2020-01-03
21,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2485,,,,,1.38210,2020-01-03
22,QAR,KATAR RİYALİ,1.6254,1.6467,,,3.6479,,2020-01-03
23,PKR,PAKİSTAN RUPİSİ,0.03828,0.03878,,,154.91,,2020-01-03
24,CNY,ÇİN YUANI,0.85037,0.86150,,,6.9726,,2020-01-03
25,IRR,İRAN RİYALİ,0.01412,0.01430,,,42000,,2020-01-03
26,RON,RUMEN LEYİ,1.3824,1.4005,,,4.2892,,2020-01-03
27,BGN,BULGAR LEVASI,3.3793,3.4236,,,1.7546,,2020-01-03
28,SAR,SUUDİ ARABİSTAN RİYALİ,1.5896,1.5924,1.5777,1.6044,3.7511,,2020-01-03
29,RUB,RUS RUBLESİ,0.09557,0.09682,,,62.04,,2020-01-03
30,KWD,KUVEYT DİNARI,19.5592,19.8152,19.2658,20.1124,,3.2988,2020-01-03
31,AUD,AVUSTRALYA DOLARI,4.1318,4.1587,4.1128,4.1837,1.4397,,2020-01-03
32,DKK,DANİMARKA KRONU,0.88803,0.89239,0.88741,0.89444,6.7041,,2020-01-03
33,EUR,EURO,6.6464,6.6584,6.6417,6.6683,,1.1147,2020-01-03
34,GBP,İNGİLİZ STERLİNİ,7.7900,7.8306,7.7845,7.8423,,1.3087,2020-01-03
35,USD,ABD DOLARI,5.9627,5.9734,5.9585,5.9824,,,2020-01-03
36,CHF,İSVİÇRE FRANGI,6.1179,6.1572,6.1088,6.1665,0.9724,,2020-01-03
37,SEK,İSVEÇ KRONU,0.62990,0.63642,0.62946,0.63788,9.4259,,2020-01-03
38,CAD,KANADA DOLARI,4.5868,4.6075,4.5698,4.6250,1.2982,,2020-01-03
39,NOK,NORVEÇ KRONU,0.67388,0.67841,0.67341,0.67997,8.8266,,2020-01-03
40,SAR,SUUDİ ARABİSTAN RİYALİ,1.5903,1.5932,1.5784,1.6051,3.7514,,2020-01-06
41,QAR,KATAR RİYALİ,1.6293,1.6506,,,3.6411,,2020-01-06
42,PKR,PAKİSTAN RUPİSİ,0.03827,0.03877,,,155.00,,2020-01-06
43,CNY,ÇİN YUANI,0.85070,0.86183,,,6.9735,,2020-01-06
44,IRR,İRAN RİYALİ,0.01412,0.01431,,,42000,,2020-01-06
45,RUB,RUS RUBLESİ,0.09549,0.09674,,,62.13,,2020-01-06
46,RON,RUMEN LEYİ,1.3890,1.4072,,,4.2710,,2020-01-06
47,BGN,BULGAR LEVASI,3.3919,3.4362,,,1.7490,,2020-01-06
48,JPY,JAPON YENİ,5.5093,5.5457,5.4889,5.5668,108.03,,2020-01-06
49,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2629,,,,,1.38380,2020-01-06
50,NOK,NORVEÇ KRONU,0.67476,0.67929,0.67428,0.68086,8.8197,,2020-01-06
51,CAD,KANADA DOLARI,4.5917,4.6124,4.5747,4.6299,1.2975,,2020-01-06
52,SEK,İSVEÇ KRONU,0.63111,0.63764,0.63067,0.63911,9.4127,,2020-01-06
53,CHF,İSVİÇRE FRANGI,6.1363,6.1757,6.1271,6.1850,0.9700,,2020-01-06
54,GBP,İNGİLİZ STERLİNİ,7.8134,7.8542,7.8080,7.8659,,1.3119,2020-01-06
55,EUR,EURO,6.6718,6.6838,6.6671,6.6939,,1.1183,2020-01-06
56,DKK,DANİMARKA KRONU,0.89134,0.89572,0.89072,0.89778,6.6827,,2020-01-06
57,AUD,AVUSTRALYA DOLARI,4.1351,4.1621,4.1161,4.1870,1.4393,,2020-01-06
58,USD,ABD DOLARI,5.9658,5.9766,5.9616,5.9855,,,2020-01-06
59,KWD,KUVEYT DİNARI,19.5726,19.8288,19.2791,20.1262,,3.2993,2020-01-06
60,BGN,BULGAR LEVASI,3.3874,3.4318,,,1.7494,,2020-01-07
61,RON,RUMEN LEYİ,1.3872,1.4054,,,4.2718,,2020-01-07
62,IRR,İRAN RİYALİ,0.01411,0.01429,,,42000,,2020-01-07
63,JPY,JAPON YENİ,5.4836,5.5199,5.4633,5.5409,108.42,,2020-01-07
64,PKR,PAKİSTAN RUPİSİ,0.03823,0.03873,,,155.02,,2020-01-07
65,QAR,KATAR RİYALİ,1.6275,1.6488,,,3.6411,,2020-01-07
66,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2571,,,,,1.38432,2020-01-07
67,CNY,ÇİN YUANI,0.85363,0.86480,,,6.9421,,2020-01-07
68,SAR,SUUDİ ARABİSTAN RİYALİ,1.5886,1.5914,1.5767,1.6034,3.7514,,2020-01-07
69,RUB,RUS RUBLESİ,0.09591,0.09717,,,61.79,,2020-01-07
70,KWD,KUVEYT DİNARI,19.5509,19.8067,19.2577,20.1038,,3.2992,2020-01-07
71,USD,ABD DOLARI,5.9594,5.9701,5.9552,5.9790,,,2020-01-07
72,AUD,AVUSTRALYA DOLARI,4.0991,4.1258,4.0803,4.1506,1.4504,,2020-01-07
73,DKK,DANİMARKA KRONU,0.89021,0.89458,0.88958,0.89664,6.6840,,2020-01-07
74,EUR,EURO,6.6628,6.6748,6.6581,6.6848,,1.1180,2020-01-07
75,NOK,NORVEÇ KRONU,0.67587,0.68042,0.67540,0.68198,8.7957,,2020-01-07
76,CHF,İSVİÇRE FRANGI,6.1277,6.1671,6.1185,6.1763,0.9703,,2020-01-07
77,SEK,İSVEÇ KRONU,0.63033,0.63685,0.62989,0.63832,9.4141,,2020-01-07
78,CAD,KANADA DOLARI,4.5871,4.6078,4.5702,4.6253,1.2974,,2020-01-07
79,GBP,İNGİLİZ STERLİNİ,7.8303,7.8711,7.8248,7.8829,,1.3162,2020-01-07
80,BGN,BULGAR LEVASI,3.3735,3.4176,,,1.7560,,2020-01-08
81,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2424,,,,,1.38236,2020-01-08
82,QAR,KATAR RİYALİ,1.6236,1.6448,,,3.6486,,2020-01-08
83,PKR,PAKİSTAN RUPİSİ,0.03821,0.03871,,,155.03,,2020-01-08
84,CNY,ÇİN YUANI,0.85336,0.86452,,,6.9417,,2020-01-08
85,IRR,İRAN RİYALİ,0.01410,0.01429,,,42000,,2020-01-08
86,RUB,RUS RUBLESİ,0.09574,0.09699,,,61.88,,2020-01-08
87,RON,RUMEN LEYİ,1.3810,1.3991,,,4.2894,,2020-01-08
88,JPY,JAPON YENİ,5.4763,5.5126,5.4561,5.5336,108.52,,2020-01-08
89,SAR,SUUDİ ARABİSTAN RİYALİ,1.5879,1.5907,1.5760,1.6027,3.7517,,2020-01-08
90,NOK,NORVEÇ KRONU,0.67100,0.67551,0.67053,0.67706,8.8563,,2020-01-08
91,KWD,KUVEYT DİNARI,19.5348,19.7904,19.2417,20.0872,,3.2977,2020-01-08
92,CAD,KANADA DOLARI,4.5768,4.5975,4.5599,4.6149,1.2998,,2020-01-08
93,SEK,İSVEÇ KRONU,0.62796,0.63446,0.62752,0.63592,9.4462,,2020-01-08
94,CHF,İSVİÇRE FRANGI,6.1189,6.1582,6.1098,6.1675,0.9713,,2020-01-08
95,GBP,İNGİLİZ STERLİNİ,7.8106,7.8513,7.8051,7.8631,,1.3134,2020-01-08
96,EUR,EURO,6.6355,6.6474,6.6308,6.6574,,1.1139,2020-01-08
97,DKK,DANİMARKA KRONU,0.88652,0.89088,0.88590,0.89293,6.7092,,2020-01-08
98,AUD,AVUSTRALYA DOLARI,4.0849,4.1115,4.0661,4.1362,1.4549,,2020-01-08
99,USD,ABD DOLARI,5.9571,5.9679,5.9530,5.9768,,,2020-01-08
100,JPY,JAPON YENİ,5.3635,5.3990,5.3437,5.4195,109.38,,2020-01-09
101,BGN,BULGAR LEVASI,3.3219,3.3653,,,1.7605,,2020-01-09
102,RON,RUMEN LEYİ,1.3599,1.3777,,,4.3003,,2020-01-09
103,RUB,RUS RUBLESİ,0.09552,0.09677,,,61.22,,2020-01-09
104,QAR,KATAR RİYALİ,1.6045,1.6255,,,3.6447,,2020-01-09
105,CNY,ÇİN YUANI,0.84381,0.85485,,,6.9305,,2020-01-09
106,PKR,PAKİSTAN RUPİSİ,0.03776,0.03826,,,154.86,,2020-01-09
107,SAR,SUUDİ ARABİSTAN RİYALİ,1.5677,1.5705,1.5559,1.5823,3.7514,,2020-01-09
108,IRR,İRAN RİYALİ,0.01392,0.01411,,,42000,,2020-01-09
109,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1233,,,,,1.38005,2020-01-09
110,NOK,NORVEÇ KRONU,0.66071,0.66516,0.66025,0.66669,8.8791,,2020-01-09
111,CAD,KANADA DOLARI,4.5015,4.5218,4.4849,4.5390,1.3047,,2020-01-09
112,USD,ABD DOLARI,5.8810,5.8916,5.8768,5.9004,,,2020-01-09
113,AUD,AVUSTRALYA DOLARI,4.0282,4.0544,4.0096,4.0788,1.4565,,2020-01-09
114,DKK,DANİMARKA KRONU,0.87297,0.87726,0.87236,0.87928,6.7263,,2020-01-09
115,KWD,KUVEYT DİNARI,19.2737,19.5259,18.9846,19.8188,,3.2958,2020-01-09
116,GBP,İNGİLİZ STERLİNİ,7.6719,7.7119,7.6665,7.7235,,1.3068,2020-01-09
117,CHF,İSVİÇRE FRANGI,6.0233,6.0619,6.0142,6.0710,0.9741,,2020-01-09
118,SEK,İSVEÇ KRONU,0.61862,0.62503,0.61819,0.62646,9.4661,,2020-01-09
119,EUR,EURO,6.5336,6.5454,6.5291,6.5552,,1.1110,2020-01-09
120,JPY,JAPON YENİ,5.3441,5.3795,5.3243,5.3999,109.60,,2020-01-10
121,QAR,KATAR RİYALİ,1.6001,1.6211,,,3.6487,,2020-01-10
122,PKR,PAKİSTAN RUPİSİ,0.03771,0.03820,,,154.84,,2020-01-10
123,CNY,ÇİN YUANI,0.84298,0.85401,,,6.9259,,2020-01-10
124,IRR,İRAN RİYALİ,0.01390,0.01408,,,42000,,2020-01-10
125,RUB,RUS RUBLESİ,0.09524,0.09649,,,61.30,,2020-01-10
126,RON,RUMEN LEYİ,1.3558,1.3735,,,4.3064,,2020-01-10
127,BGN,BULGAR LEVASI,3.3134,3.3567,,,1.7621,,2020-01-10
128,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1070,,,,,1.37955,2020-01-10
129,SAR,SUUDİ ARABİSTAN RİYALİ,1.5651,1.5679,1.5533,1.5796,3.7515,,2020-01-10
130,KWD,KUVEYT DİNARI,19.2385,19.4902,18.9499,19.7826,,3.2952,2020-01-10
131,CAD,KANADA DOLARI,4.4871,4.5074,4.4705,4.5245,1.3067,,2020-01-10
132,SEK,İSVEÇ KRONU,0.61540,0.62177,0.61497,0.62320,9.5000,,2020-01-10
133,CHF,İSVİÇRE FRANGI,6.0119,6.0505,6.0029,6.0596,0.9744,,2020-01-10
134,GBP,İNGİLİZ STERLİNİ,7.6595,7.6994,7.6541,7.7110,,1.3068,2020-01-10
135,EUR,EURO,6.5170,6.5288,6.5125,6.5386,,1.1100,2020-01-10
136,DKK,DANİMARKA KRONU,0.87070,0.87497,0.87009,0.87699,6.7327,,2020-01-10
137,AUD,AVUSTRALYA DOLARI,4.0285,4.0547,4.0099,4.0791,1.4540,,2020-01-10
138,USD,ABD DOLARI,5.8713,5.8819,5.8672,5.8907,,,2020-01-10
139,NOK,NORVEÇ KRONU,0.65905,0.66348,0.65859,0.66500,8.8869,,2020-01-10
140,BGN,BULGAR LEVASI,3.3097,3.3530,,,1.7585,,2020-01-13
141,RON,RUMEN LEYİ,1.3543,1.3720,,,4.2976,,2020-01-13
142,RUB,RUS RUBLESİ,0.09538,0.09663,,,61.02,,2020-01-13
143,IRR,İRAN RİYALİ,0.01386,0.01404,,,42000,,2020-01-13
144,JPY,JAPON YENİ,5.3198,5.3551,5.3002,5.3754,109.76,,2020-01-13
145,PKR,PAKİSTAN RUPİSİ,0.03758,0.03808,,,154.86,,2020-01-13
146,QAR,KATAR RİYALİ,1.5985,1.6194,,,3.6410,,2020-01-13
147,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.0859,,,,,1.38027,2020-01-13
148,CNY,ÇİN YUANI,0.84419,0.85524,,,6.8943,,2020-01-13
149,SAR,SUUDİ ARABİSTAN RİYALİ,1.5601,1.5629,1.5484,1.5746,3.7516,,2020-01-13
150,GBP,İNGİLİZ STERLİNİ,7.5913,7.6309,7.5860,7.6423,,1.2992,2020-01-13
151,KWD,KUVEYT DİNARI,19.1756,19.4266,18.8880,19.7180,,3.2947,2020-01-13
152,AUD,AVUSTRALYA DOLARI,4.0335,4.0598,4.0149,4.0842,1.4477,,2020-01-13
153,DKK,DANİMARKA KRONU,0.86972,0.87400,0.86912,0.87601,6.7192,,2020-01-13
154,EUR,EURO,6.5096,6.5213,6.5050,6.5311,,1.1122,2020-01-13
155,USD,ABD DOLARI,5.8529,5.8635,5.8488,5.8723,,,2020-01-13
156,CHF,İSVİÇRE FRANGI,6.0024,6.0409,5.9934,6.0500,0.9729,,2020-01-13
157,SEK,İSVEÇ KRONU,0.61308,0.61943,0.61265,0.62086,9.5061,,2020-01-13
158,CAD,KANADA DOLARI,4.4763,4.4965,4.4597,4.5136,1.3058,,2020-01-13
159,NOK,NORVEÇ KRONU,0.65685,0.66127,0.65639,0.66279,8.8887,,2020-01-13
160,JPY,JAPON YENİ,5.3328,5.3681,5.3131,5.3885,110.02,,2020-01-14
161,QAR,KATAR RİYALİ,1.6055,1.6265,,,3.6425,,2020-01-14
162,PKR,PAKİSTAN RUPİSİ,0.03776,0.03826,,,154.86,,2020-01-14
163,CNY,ÇİN YUANI,0.84957,0.86069,,,6.8837,,2020-01-14
164,IRR,İRAN RİYALİ,0.01392,0.01411,,,42000,,2020-01-14
165,RUB,RUS RUBLESİ,0.09529,0.09653,,,61.38,,2020-01-14
166,RON,RUMEN LEYİ,1.3627,1.3805,,,4.2915,,2020-01-14
167,BGN,BULGAR LEVASI,3.3298,3.3734,,,1.7563,,2020-01-14
168,SAR,SUUDİ ARABİSTAN RİYALİ,1.5676,1.5704,1.5558,1.5822,3.7517,,2020-01-14
169,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1275,,,,,1.38072,2020-01-14
170,KWD,KUVEYT DİNARI,19.2759,19.5281,18.9868,19.8211,,3.2961,2020-01-14
171,USD,ABD DOLARI,5.8811,5.8917,5.8770,5.9005,,,2020-01-14
172,AUD,AVUSTRALYA DOLARI,4.0491,4.0755,4.0305,4.1000,1.4490,,2020-01-14
173,DKK,DANİMARKA KRONU,0.87504,0.87934,0.87443,0.88136,6.7105,,2020-01-14
174,EUR,EURO,6.5495,6.5613,6.5449,6.5711,,1.1136,2020-01-14
175,NOK,NORVEÇ KRONU,0.65997,0.66441,0.65951,0.66594,8.8893,,2020-01-14
176,CHF,İSVİÇRE FRANGI,6.0532,6.0921,6.0441,6.1012,0.9693,,2020-01-14
177,SEK,İSVEÇ KRONU,0.61897,0.62538,0.61854,0.62682,9.4610,,2020-01-14
178,CAD,KANADA DOLARI,4.4947,4.5149,4.4780,4.5321,1.3067,,2020-01-14
179,GBP,İNGİLİZ STERLİNİ,7.6222,7.6620,7.6169,7.6734,,1.2983,2020-01-14
180,SAR,SUUDİ ARABİSTAN RİYALİ,1.5680,1.5708,1.5562,1.5826,3.7518,,2020-01-15
181,QAR,KATAR RİYALİ,1.6066,1.6276,,,3.6410,,2020-01-15
182,PKR,PAKİSTAN RUPİSİ,0.03780,0.03829,,,154.77,,2020-01-15
183,CNY,ÇİN YUANI,0.84938,0.86050,,,6.8870,,2020-01-15
184,IRR,İRAN RİYALİ,0.01393,0.01411,,,42000,,2020-01-15
185,RUB,RUS RUBLESİ,0.09517,0.09641,,,61.47,,2020-01-15
186,RON,RUMEN LEYİ,1.3625,1.3803,,,4.2934,,2020-01-15
187,BGN,BULGAR LEVASI,3.3304,3.3740,,,1.7565,,2020-01-15
188,JPY,JAPON YENİ,5.3403,5.3756,5.3205,5.3961,109.89,,2020-01-15
189,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1313,,,,,1.38099,2020-01-15
190,NOK,NORVEÇ KRONU,0.66070,0.66514,0.66024,0.66667,8.8819,,2020-01-15
191,CAD,KANADA DOLARI,4.4958,4.5161,4.4791,4.5332,1.3067,,2020-01-15
192,SEK,İSVEÇ KRONU,0.61835,0.62475,0.61791,0.62619,9.4731,,2020-01-15
193,CHF,İSVİÇRE FRANGI,6.0727,6.1117,6.0636,6.1209,0.9665,,2020-01-15
194,GBP,İNGİLİZ STERLİNİ,7.6428,7.6827,7.6375,7.6942,,1.3014,2020-01-15
195,EUR,EURO,6.5504,6.5622,6.5458,6.5721,,1.1135,2020-01-15
196,DKK,DANİMARKA KRONU,0.87523,0.87953,0.87462,0.88155,6.7109,,2020-01-15
197,AUD,AVUSTRALYA DOLARI,4.0449,4.0712,4.0263,4.0957,1.4509,,2020-01-15
198,USD,ABD DOLARI,5.8827,5.8933,5.8786,5.9021,,,2020-01-15
199,KWD,KUVEYT DİNARI,19.2802,19.5325,18.9910,19.8255,,3.2959,2020-01-15
200,BGN,BULGAR LEVASI,3.3280,3.3715,,,1.7535,,2020-01-16
201,RON,RUMEN LEYİ,1.3616,1.3794,,,4.2858,,2020-01-16
202,RUB,RUS RUBLESİ,0.09472,0.09596,,,61.61,,2020-01-16
203,JPY,JAPON YENİ,5.3226,5.3578,5.3029,5.3782,109.99,,2020-01-16
204,CNY,ÇİN YUANI,0.84781,0.85890,,,6.8831,,2020-01-16
205,PKR,PAKİSTAN RUPİSİ,0.03773,0.03822,,,154.67,,2020-01-16
206,QAR,KATAR RİYALİ,1.6027,1.6237,,,3.6410,,2020-01-16
207,IRR,İRAN RİYALİ,0.01389,0.01408,,,42000,,2020-01-16
208,SAR,SUUDİ ARABİSTAN RİYALİ,1.5643,1.5671,1.5526,1.5789,3.7515,,2020-01-16
209,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1177,,,,,1.38204,2020-01-16
210,KWD,KUVEYT DİNARI,19.2374,19.4891,18.9488,19.7814,,3.2966,2020-01-16
211,USD,ABD DOLARI,5.8684,5.8790,5.8643,5.8878,,,2020-01-16
212,AUD,AVUSTRALYA DOLARI,4.0486,4.0750,4.0300,4.0995,1.4461,,2020-01-16
213,DKK,DANİMARKA KRONU,0.87457,0.87887,0.87396,0.88089,6.6997,,2020-01-16
214,EUR,EURO,6.5458,6.5576,6.5412,6.5674,,1.1154,2020-01-16
215,NOK,NORVEÇ KRONU,0.66049,0.66493,0.66003,0.66646,8.8632,,2020-01-16
216,CHF,İSVİÇRE FRANGI,6.0765,6.1155,6.0673,6.1246,0.9635,,2020-01-16
217,SEK,İSVEÇ KRONU,0.61738,0.62377,0.61695,0.62520,9.4650,,2020-01-16
218,CAD,KANADA DOLARI,4.4946,4.5149,4.4780,4.5320,1.3039,,2020-01-16
219,GBP,İNGİLİZ STERLİNİ,7.6458,7.6857,7.6404,7.6972,,1.3051,2020-01-16
220,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.0979,,,,,1.38150,2020-01-17
221,QAR,KATAR RİYALİ,1.5995,1.6204,,,3.6410,,2020-01-17
222,PKR,PAKİSTAN RUPİSİ,0.03766,0.03816,,,154.62,,2020-01-17
223,CNY,ÇİN YUANI,0.84902,0.86013,,,6.8592,,2020-01-17
224,IRR,İRAN RİYALİ,0.01387,0.01405,,,42000,,2020-01-17
225,RUB,RUS RUBLESİ,0.09476,0.09600,,,61.46,,2020-01-17
226,RON,RUMEN LEYİ,1.3558,1.3735,,,4.2954,,2020-01-17
227,JPY,JAPON YENİ,5.3026,5.3377,5.2830,5.3580,110.18,,2020-01-17
228,SAR,SUUDİ ARABİSTAN RİYALİ,1.5610,1.5638,1.5493,1.5755,3.7517,,2020-01-17
229,BGN,BULGAR LEVASI,3.3134,3.3568,,,1.7576,,2020-01-17
230,KWD,KUVEYT DİNARI,19.1957,19.4469,18.9078,19.7386,,3.2962,2020-01-17
231,USD,ABD DOLARI,5.8564,5.8670,5.8523,5.8758,,,2020-01-17
232,AUD,AVUSTRALYA DOLARI,4.0336,4.0599,4.0150,4.0842,1.4485,,2020-01-17
233,DKK,DANİMARKA KRONU,0.87076,0.87504,0.87015,0.87705,6.7152,,2020-01-17
234,EUR,EURO,6.5172,6.5289,6.5126,6.5387,,1.1128,2020-01-17
235,NOK,NORVEÇ KRONU,0.65691,0.66132,0.65645,0.66284,8.8933,,2020-01-17
236,CHF,İSVİÇRE FRANGI,6.0502,6.0890,6.0411,6.0981,0.9658,,2020-01-17
237,SEK,İSVEÇ KRONU,0.61463,0.62099,0.61420,0.62242,9.4879,,2020-01-17
238,CAD,KANADA DOLARI,4.4842,4.5044,4.4676,4.5215,1.3043,,2020-01-17
239,GBP,İNGİLİZ STERLİNİ,7.6396,7.6794,7.6342,7.6909,,1.3067,2020-01-17
240,SAR,SUUDİ ARABİSTAN RİYALİ,1.5719,1.5748,1.5601,1.5866,3.7520,,2020-01-20
241,QAR,KATAR RİYALİ,1.6108,1.6319,,,3.6410,,2020-01-20
242,PKR,PAKİSTAN RUPİSİ,0.03794,0.03843,,,154.60,,2020-01-20
243,CNY,ÇİN YUANI,0.85481,0.86599,,,6.8610,,2020-01-20
244,IRR,İRAN RİYALİ,0.01396,0.01415,,,42000,,2020-01-20
245,RUB,RUS RUBLESİ,0.09530,0.09655,,,61.54,,2020-01-20
246,RON,RUMEN LEYİ,1.3609,1.3787,,,4.3096,,2020-01-20
247,BGN,BULGAR LEVASI,3.3256,3.3691,,,1.7635,,2020-01-20
248,JPY,JAPON YENİ,5.3408,5.3761,5.3210,5.3966,110.17,,2020-01-20
249,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1424,,,,,1.37932,2020-01-20
250,NOK,NORVEÇ KRONU,0.66043,0.66487,0.65997,0.66640,8.9084,,2020-01-20
251,CAD,KANADA DOLARI,4.5078,4.5281,4.4911,4.5453,1.3066,,2020-01-20
252,USD,ABD DOLARI,5.8979,5.9085,5.8938,5.9174,,,2020-01-20
253,AUD,AVUSTRALYA DOLARI,4.0439,4.0703,4.0253,4.0947,1.4550,,2020-01-20
254,DKK,DANİMARKA KRONU,0.87400,0.87829,0.87338,0.88031,6.7377,,2020-01-20
255,KWD,KUVEYT DİNARI,19.3112,19.5639,19.0216,19.8574,,3.2927,2020-01-20
256,GBP,İNGİLİZ STERLİNİ,7.6458,7.6856,7.6404,7.6972,,1.2986,2020-01-20
257,CHF,İSVİÇRE FRANGI,6.0752,6.1142,6.0661,6.1233,0.9686,,2020-01-20
258,SEK,İSVEÇ KRONU,0.61683,0.62322,0.61640,0.62465,9.5209,,2020-01-20
259,EUR,EURO,6.5412,6.5530,6.5366,6.5628,,1.1091,2020-01-20
260,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1708,,,,,1.37918,2020-01-21
261,SAR,SUUDİ ARABİSTAN RİYALİ,1.5777,1.5805,1.5659,1.5924,3.7517,,2020-01-21
262,PKR,PAKİSTAN RUPİSİ,0.03807,0.03857,,,154.60,,2020-01-21
263,CNY,ÇİN YUANI,0.85268,0.86384,,,6.9028,,2020-01-21
264,IRR,İRAN RİYALİ,0.01401,0.01420,,,42000,,2020-01-21
265,RUB,RUS RUBLESİ,0.09522,0.09646,,,61.82,,2020-01-21
266,RON,RUMEN LEYİ,1.3666,1.3844,,,4.3071,,2020-01-21
267,BGN,BULGAR LEVASI,3.3394,3.3831,,,1.7625,,2020-01-21
268,JPY,JAPON YENİ,5.3691,5.4047,5.3492,5.4252,109.98,,2020-01-21
269,QAR,KATAR RİYALİ,1.6166,1.6377,,,3.6410,,2020-01-21
270,NOK,NORVEÇ KRONU,0.65954,0.66397,0.65908,0.66550,8.9526,,2020-01-21
271,CAD,KANADA DOLARI,4.5228,4.5432,4.5061,4.5605,1.3070,,2020-01-21
272,SEK,İSVEÇ KRONU,0.61906,0.62547,0.61863,0.62691,9.5207,,2020-01-21
273,CHF,İSVİÇRE FRANGI,6.1021,6.1413,6.0929,6.1505,0.9678,,2020-01-21
274,GBP,İNGİLİZ STERLİNİ,7.6976,7.7378,7.6923,7.7494,,1.3027,2020-01-21
275,EUR,EURO,6.5680,6.5798,6.5634,6.5897,,1.1096,2020-01-21
276,DKK,DANİMARKA KRONU,0.87762,0.88193,0.87700,0.88396,6.7340,,2020-01-21
277,AUD,AVUSTRALYA DOLARI,4.0492,4.0756,4.0306,4.1001,1.4583,,2020-01-21
278,USD,ABD DOLARI,5.9191,5.9297,5.9149,5.9386,,,2020-01-21
279,KWD,KUVEYT DİNARI,19.3807,19.6343,19.0900,19.9288,,3.2927,2020-01-21
280,BGN,BULGAR LEVASI,3.3416,3.3853,,,1.7645,,2020-01-22
281,RON,RUMEN LEYİ,1.3677,1.3856,,,4.3110,,2020-01-22
282,IRR,İRAN RİYALİ,0.01404,0.01422,,,42000,,2020-01-22
283,JPY,JAPON YENİ,5.3777,5.4133,5.3578,5.4339,109.99,,2020-01-22
284,PKR,PAKİSTAN RUPİSİ,0.03816,0.03866,,,154.52,,2020-01-22
285,QAR,KATAR RİYALİ,1.6194,1.6406,,,3.6410,,2020-01-22
286,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.1841,,,,,1.37903,2020-01-22
287,CNY,ÇİN YUANI,0.85420,0.86538,,,6.9025,,2020-01-22
288,SAR,SUUDİ ARABİSTAN RİYALİ,1.5805,1.5834,1.5687,1.5953,3.7515,,2020-01-22
289,RUB,RUS RUBLESİ,0.09521,0.09645,,,61.93,,2020-01-22
290,KWD,KUVEYT DİNARI,19.4137,19.6678,19.1225,19.9628,,3.2926,2020-01-22
291,AUD,AVUSTRALYA DOLARI,4.0475,4.0739,4.0289,4.0983,1.4615,,2020-01-22
