,Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
571,16.11.2021,81993,81966,83791,81070,,"1,58%"
572,15.11.2021,80718,80695,81803,80211,,"-0,61%"
573,12.11.2021,81213,80569,81651,79245,,"1,33%"
574,11.11.2021,80145,80232,80580,78019,,"3,30%"
575,10.11.2021,77584,77695,79331,75902,,"2,33%"
576,09.11.2021,75815,75806,76380,75153,,"-0,03%"
577,08.11.2021,75834,75842,76337,75092,,"0,65%"
578,05.11.2021,75344,74035,75344,73734,,"1,70%"
579,04.11.2021,74087,74045,75148,72926,,"1,39%"
580,03.11.2021,73072,72828,73887,71824,,"1,32%"
581,02.11.2021,72119,72205,73853,72023,,"-1,52%"
582,01.11.2021,73230,73303,73785,72920,,"-0,78%"
583,29.10.2021,73805,73780,74339,72880,,"0,52%"
584,28.10.2021,73426,73423,74718,73324,,"0,54%"
585,27.10.2021,73031,73074,74241,72827,,"-0,84%"
586,26.10.2021,73650,73761,75732,73060,,"-2,22%"
587,25.10.2021,75323,75451,77117,75212,,"0,31%"
588,22.10.2021,75090,74069,76779,73676,,"1,96%"
589,21.10.2021,73647,73543,74171,71854,,"2,51%"
590,20.10.2021,71847,71764,72404,70561,,"2,04%"
591,19.10.2021,70413,70497,72260,69689,,"1,52%"
592,18.10.2021,69361,69425,69918,68800,,"-0,15%"
593,15.10.2021,69467,69461,69748,68468,,"0,33%"
594,14.10.2021,69240,69289,69662,67373,,"2,18%"
595,13.10.2021,67764,67867,68196,65368,,"3,75%"
596,12.10.2021,65314,65360,65977,64814,,"0,46%"
597,11.10.2021,65013,65036,65762,64778,,"-0,55%"
598,08.10.2021,65375,64457,66349,64103,,"2,01%"
599,07.10.2021,64088,64187,65026,63924,,"-0,62%"
600,06.10.2021,64489,64493,64770,63703,,"0,46%"
601,05.10.2021,64191,64212,64640,63760,,"0,05%"
602,04.10.2021,64160,64370,64762,63436,,"-0,11%"
603,01.10.2021,64232,63200,64345,62859,,"1,97%"
604,30.09.2021,62992,63161,63577,61423,,"2,54%"
605,29.09.2021,61432,61392,64388,61164,,"-3,80%"
606,28.09.2021,63856,63817,64318,63213,,"-0,13%"
607,27.09.2021,63936,63942,64937,63756,,"-0,21%"
608,24.09.2021,64069,63652,64586,62968,,"1,17%"
609,23.09.2021,63328,63223,64331,62693,,"0,60%"
610,22.09.2021,62953,62976,64247,62331,,"1,22%"
611,21.09.2021,62196,62178,63125,61816,,"0,44%"
612,20.09.2021,61922,61887,63024,61285,,"-0,53%"
613,17.09.2021,62252,62968,63885,61888,,"-0,58%"
614,16.09.2021,62612,62629,64984,61980,,"-2,94%"
615,15.09.2021,64511,64418,64922,64249,,"0,11%"
616,14.09.2021,64438,64468,65065,63779,,"0,50%"
617,13.09.2021,64115,64094,64865,63631,,"-0,83%"
618,10.09.2021,64650,65308,65982,64615,,"-0,53%"
619,09.09.2021,64993,65048,66051,64959,,"0,04%"
620,08.09.2021,64968,64955,66326,65157,,"-0,12%"
621,07.09.2021,65046,65078,66133,64840,,"-0,61%"
622,06.09.2021,65448,65505,66426,65589,,"-1,03%"
623,03.09.2021,66132,63650,66439,63629,,"4,36%"
624,02.09.2021,63369,63407,64568,63378,,"-1,39%"
625,01.09.2021,64261,64206,64801,63486,,"1,03%"
626,31.08.2021,63608,63658,65214,63621,,"-0,89%"
627,30.08.2021,64179,64195,65194,64287,,"-0,52%"
628,27.08.2021,64513,63611,64734,63055,,"1,89%"
629,26.08.2021,63316,63309,64361,63156,,"-1,05%"
630,25.08.2021,63991,63985,64564,63767,,"-0,15%"
631,24.08.2021,64090,64133,64800,63745,,"0,54%"
632,23.08.2021,63747,63758,64366,62774,,"1,34%"
633,20.08.2021,62906,63738,64066,62593,,"-1,09%"
634,19.08.2021,63601,63486,64419,62111,,"-0,16%"
635,18.08.2021,63705,63818,64853,63513,,"-0,33%"
636,17.08.2021,63914,63917,65255,63906,,"-1,25%"
637,16.08.2021,64724,64668,65107,63714,,"-0,61%"
638,13.08.2021,65124,63884,65470,63763,,"2,16%"
639,12.08.2021,63750,63663,65330,63472,,"-2,36%"
640,11.08.2021,65293,65330,65623,64224,,"1,43%"
641,10.08.2021,64371,64481,65864,64173,,"-0,95%"
642,09.08.2021,64987,65045,66880,64571,,"-3,82%"
643,06.08.2021,67571,68989,69452,67178,,"-1,63%"
644,05.08.2021,68691,68778,69996,68927,,"-0,34%"
645,04.08.2021,68926,68974,70443,68967,,"0,15%"
646,03.08.2021,68821,68722,69283,67516,,"1,14%"
647,02.08.2021,68042,68060,69743,67999,,"-1,80%"
648,30.07.2021,69292,69404,69792,68650,,"0,09%"
649,29.07.2021,69228,69189,70486,68839,,"0,99%"
650,28.07.2021,68549,68541,68928,67878,,"0,97%"
651,27.07.2021,67891,67798,69549,67480,,"-1,60%"
652,26.07.2021,68993,69138,70235,69096,,"-0,41%"
653,23.07.2021,69275,69960,70099,68853,,"-0,48%"
654,22.07.2021,69611,69576,70105,68801,,"0,72%"
655,21.07.2021,69110,69108,69702,68311,,"1,27%"
656,20.07.2021,68241,68268,69741,68212,,"-1,10%"
657,19.07.2021,69001,69096,70658,68914,,"-1,92%"
658,16.07.2021,70352,72512,72847,69936,,"-2,75%"
659,15.07.2021,72343,72259,72838,72027,,"0,32%"
660,14.07.2021,72109,72212,73089,71911,,"0,52%"
661,13.07.2021,71738,71788,73146,71871,,"-1,24%"
662,12.07.2021,72640,72577,73149,71872,,"-0,05%"
663,09.07.2021,72680,72406,72952,71951,,"0,74%"
664,08.07.2021,72143,72308,73351,72151,,"-0,93%"
665,07.07.2021,72817,72823,73744,72754,,"0,14%"
666,06.07.2021,72715,72798,74481,72723,,"-1,01%"
667,05.07.2021,73460,73496,74385,73506,,"-0,66%"
668,02.07.2021,73952,72541,74203,72405,,"2,32%"
669,01.07.2021,72273,72270,73669,72333,,"-0,55%"
670,30.06.2021,72674,72858,73196,71824,,"0,74%"
671,29.06.2021,72142,72152,73184,71828,,"-0,63%"
672,28.06.2021,72597,72613,73691,72746,,"-1,30%"
673,25.06.2021,73551,72621,73735,72538,,"1,66%"
674,24.06.2021,72350,72427,73092,71793,,"1,29%"
675,23.06.2021,71427,71582,72957,71657,,"-0,07%"
676,22.06.2021,71479,71473,73501,71574,,"-2,14%"
677,21.06.2021,73045,72994,73584,72093,,"0,66%"
678,18.06.2021,72566,72894,73946,72399,,"-0,05%"
679,17.06.2021,72601,72470,75417,72199,,"-3,28%"
680,16.06.2021,75062,74362,76464,74271,,"-1,02%"
681,15.06.2021,75836,75809,76387,75150,,"0,97%"
682,14.06.2021,75107,75155,76009,73966,,"-0,34%"
683,11.06.2021,75367,75846,76555,74955,,"-0,25%"
684,10.06.2021,75554,75665,76828,75055,,"-1,21%"
685,09.06.2021,76480,76431,77174,75969,,"0,42%"
686,08.06.2021,76163,76058,77473,76098,,"-1,10%"
687,07.06.2021,77009,76969,77581,76249,,"-0,58%"
688,04.06.2021,77461,76875,77629,75999,,"1,11%"
689,03.06.2021,76608,76521,78016,75805,,"-1,22%"
690,02.06.2021,77552,77466,77912,76494,,"1,87%"
691,01.06.2021,76130,76322,78654,76238,,"-0,26%"
692,31.05.2021,76327,76373,77541,76073,,"-0,74%"
693,28.05.2021,76896,76278,77061,75421,,"1,34%"
694,27.05.2021,75880,75829,76384,74773,,"1,01%"
695,26.05.2021,75123,75024,76709,75100,,"-0,92%"
696,25.05.2021,75821,75848,76241,74181,,"1,88%"
697,24.05.2021,74419,74600,75268,74256,,"-0,22%"
698,21.05.2021,74580,74714,75549,73426,,"0,12%"
699,20.05.2021,74490,74534,75423,74211,,"-0,08%"
700,19.05.2021,74546,74784,76151,74161,,"-1,04%"
701,18.05.2021,75332,75399,76865,75352,,"0,26%"
702,17.05.2021,75133,75064,75642,73717,,"0,76%"
703,14.05.2021,74569,73983,74594,73375,,"1,34%"
704,13.05.2021,73583,73729,74260,72994,,"0,60%"
705,12.05.2021,73141,72769,74420,72924,,"-0,34%"
706,11.05.2021,73394,73497,73774,72241,,"1,37%"
707,10.05.2021,72402,72393,73997,72530,,"-0,46%"
708,07.05.2021,72735,72656,73545,72042,,"0,30%"
709,06.05.2021,72517,72372,73197,70241,,"2,88%"
710,05.05.2021,70490,70683,71126,70075,,"-0,18%"
711,04.05.2021,70617,70691,72471,70240,,"-0,54%"
712,03.05.2021,70998,71083,71782,68835,,"2,78%"
713,30.04.2021,69079,68852,69778,68400,,"0,52%"
714,29.04.2021,68719,68748,69922,68164,,"-0,55%"
715,28.04.2021,69100,68996,69416,67899,,"0,09%"
716,27.04.2021,69035,69076,70026,69049,,"-0,74%"
717,26.04.2021,69549,69562,70813,69233,,"-0,95%"
718,23.04.2021,70218,69919,70906,69661,,"1,03%"
719,22.04.2021,69501,69471,71151,69581,,"-0,22%"
720,21.04.2021,69655,69760,70179,67250,,"3,89%"
721,20.04.2021,67047,67201,68062,67039,,"0,14%"
722,19.04.2021,66956,66964,68083,66657,,"-0,62%"
723,16.04.2021,67373,66819,68199,66534,,"1,14%"
724,15.04.2021,66612,66674,67500,65829,,"0,99%"
725,14.04.2021,65957,65820,66631,65569,,"-0,04%"
726,13.04.2021,65983,66069,66731,64801,,"1,86%"
727,12.04.2021,64778,64773,66500,64788,,"-2,35%"
728,09.04.2021,66334,66557,66810,65602,,"0,01%"
729,08.04.2021,66329,66373,67152,65603,,"0,99%"
730,07.04.2021,65682,65758,66333,65416,,"0,16%"
731,06.04.2021,65579,65628,66301,64679,,"1,60%"
732,05.04.2021,64544,64743,66347,64360,,"-1,54%"
733,02.04.2021,65553,65264,65708,64145,,"0,77%"
734,01.04.2021,65051,65051,65305,63781,,"0,77%"
735,31.03.2021,64551,64580,65131,63675,,"0,61%"
736,30.03.2021,64159,64152,66213,63885,,"-0,77%"
737,29.03.2021,64659,64680,65650,64009,,"0,09%"
738,26.03.2021,64600,63679,65315,64129,,"1,29%"
739,25.03.2021,63775,63786,64484,62724,,"0,41%"
740,24.03.2021,63512,63551,65039,63382,,"0,54%"
741,23.03.2021,63174,63068,65477,63162,,"-3,43%"
742,22.03.2021,65419,65402,68246,63192,,"8,18%"
743,19.03.2021,60474,61015,61955,60499,,"-0,96%"
744,18.03.2021,61061,61161,64145,61001,,"-3,68%"
745,17.03.2021,63397,63432,63990,62125,,"1,90%"
746,16.03.2021,62217,62313,63723,62320,,"-1,80%"
747,15.03.2021,63356,63451,63897,62794,,"0,45%"
748,12.03.2021,63075,62774,63085,61947,,"0,60%"
749,11.03.2021,62702,62779,63581,62542,,"-0,49%"
750,10.03.2021,63012,63189,63782,62571,,"-0,59%"
751,09.03.2021,63386,63307,64108,62429,,"1,53%"
752,08.03.2021,62433,62206,62990,61212,,"3,37%"
753,05.03.2021,60399,60814,61409,60298,,"-0,48%"
754,04.03.2021,60691,60532,63049,60947,,"-2,44%"
755,03.03.2021,62209,62266,63368,61791,,"-1,35%"
756,02.03.2021,63061,63109,63634,60738,,"1,89%"
757,01.03.2021,61889,62070,64175,61999,,"-2,86%"
758,26.02.2021,63712,64937,65333,62408,,"-0,18%"
759,25.02.2021,63830,63575,65789,64095,,"-0,72%"
760,24.02.2021,64290,64457,64611,62618,,"2,37%"
761,23.02.2021,62800,62797,63913,62286,,"-1,67%"
762,22.02.2021,63868,63699,63811,61422,,"4,63%"
763,19.02.2021,61044,59510,61720,59510,,"1,21%"
764,18.02.2021,60312,60399,61706,58859,,"-1,41%"
765,17.02.2021,61172,61135,61899,60342,,"0,30%"
766,16.02.2021,60988,61266,62550,60378,,"-0,78%"
767,15.02.2021,61466,61529,62461,61519,,"-0,73%"
768,12.02.2021,61918,61011,61964,60759,,"1,84%"
769,11.02.2021,60800,60747,61889,60609,,"-0,61%"
770,10.02.2021,61173,61165,62407,60884,,"-1,05%"
771,09.02.2021,61824,61790,63428,61753,,"0,05%"
772,08.02.2021,61796,61845,62910,60978,,"1,56%"
773,05.02.2021,60849,60282,61413,59948,,"0,90%"
774,04.02.2021,60305,60305,61808,59286,,"-2,22%"
775,03.02.2021,61672,61660,62879,61038,,"-0,68%"
776,02.02.2021,62097,61613,66713,60754,,"-6,55%"
777,01.02.2021,66447,66940,69851,64908,,"4,56%"
778,29.01.2021,63552,62627,64719,61759,,"2,06%"
779,28.01.2021,62270,62317,63316,59231,,"4,16%"
780,27.01.2021,59781,59963,60295,58862,,"-0,39%"
781,26.01.2021,60013,59999,60719,59992,,"-0,34%"
782,25.01.2021,60217,60118,61301,60014,,"-0,39%"
783,22.01.2021,60451,61391,61511,59786,,"-1,50%"
784,21.01.2021,61372,61273,62116,60694,,"-0,18%"
785,20.01.2021,61483,61403,61759,59978,,"1,49%"
786,19.01.2021,60583,60380,60933,59914,,"1,16%"
787,18.01.2021,59889,60777,60704,58176,,"1,14%"
788,15.01.2021,59212,60328,61062,58998,,"-1,94%"
789,14.01.2021,60381,60162,61229,59625,,"0,28%"
790,13.01.2021,60210,60039,61655,59955,,"-1,45%"
791,12.01.2021,61093,61136,61579,60099,,"1,58%"
792,11.01.2021,60140,59689,60836,57907,,"-0,24%"
793,08.01.2021,60283,64057,64176,58186,,"-5,48%"
794,07.01.2021,63779,63723,64681,62871,,"-0,39%"
795,06.01.2021,64029,63987,65769,62615,,"-2,25%"
796,05.01.2021,65505,65395,65792,64504,,"0,94%"
797,04.01.2021,64898,64900,65569,63765,,"3,59%"
798,01.01.2021,62651,62685,63104,63101,,"-0,19%"
799,31.12.2020,62770,62747,63796,62394,,"-0,37%"
800,30.12.2020,63001,63150,63353,61562,,"1,60%"
801,29.12.2020,62008,62101,63711,61580,,"-1,50%"
802,28.12.2020,62952,62634,65020,62577,,"0,37%"
803,25.12.2020,62723,62759,62931,62506,,"-0,21%"
804,24.12.2020,62856,63263,63802,61916,,"0,58%"
805,23.12.2020,62496,62623,63304,61714,,"0,58%"
806,22.12.2020,62138,61948,65336,61788,,"-3,80%"
807,21.12.2020,64595,64308,67674,62070,,"2,39%"
808,18.12.2020,63087,63875,64314,63095,,"-1,48%"
809,17.12.2020,64037,64385,64852,63138,,"0,99%"
810,16.12.2020,63409,63524,63865,61612,,"2,97%"
811,15.12.2020,61581,61653,61919,60215,,"2,57%"
812,14.12.2020,60038,59903,61116,59989,,"-0,48%"
813,11.12.2020,60327,60819,61480,60069,,"-0,52%"
814,10.12.2020,60643,60667,61417,59918,,"1,19%"
815,09.12.2020,59930,60212,61750,59476,,"-2,65%"
816,08.12.2020,61559,61621,62594,61429,,"0,09%"
817,07.12.2020,61505,61329,62175,59431,,"2,23%"
818,04.12.2020,60165,60381,61108,59970,,"0,15%"
819,03.12.2020,60077,59962,61696,59316,,"-0,80%"
820,02.12.2020,60559,60818,61256,59278,,"1,29%"
821,01.12.2020,59789,60259,60703,56933,,"5,84%"
822,30.11.2020,56490,56647,57218,55004,,"-1,08%"
823,27.11.2020,57110,58698,59098,56366,,"-6,25%"
824,26.11.2020,60914,60914,60017,58768,,"2,27%"
825,25.11.2020,59564,59542,60395,59050,,"0,15%"
826,24.11.2020,59473,59520,60513,58721,,"-0,21%"
827,23.11.2020,59600,59727,61578,59377,,"0,18%"
828,20.11.2020,59494,58695,60431,58140,,"2,68%"
829,19.11.2020,57942,58231,60372,57621,,"-3,63%"
830,18.11.2020,60125,60177,61319,60112,,"-0,58%"
831,17.11.2020,60474,60451,61802,60394,,"-1,03%"
832,16.11.2020,61105,61277,61968,60291,,"0,99%"
833,13.11.2020,60507,59390,61425,59359,,"1,16%"
834,12.11.2020,59813,59902,61477,59759,,"-1,69%"
835,11.11.2020,60840,61010,64360,59957,,"-3,76%"
836,10.11.2020,63215,63190,65219,62750,,"0,02%"
837,09.11.2020,63205,62946,70369,61678,,"-9,84%"
838,06.11.2020,70105,68316,71059,67452,,"3,19%"
839,05.11.2020,67937,68665,68961,64836,,"5,01%"
840,04.11.2020,64693,64540,66364,63363,,"-1,56%"
841,03.11.2020,65715,65138,66821,64907,,"1,00%"
842,02.11.2020,65063,65077,65530,63098,,"2,06%"
843,30.10.2020,63752,62266,63966,61904,,"4,18%"
844,29.10.2020,61195,61066,62867,60589,,"-0,21%"
845,28.10.2020,61321,61266,64881,61089,,"-3,81%"
846,27.10.2020,63751,63908,64458,63171,,"1,26%"
847,26.10.2020,62956,62862,63682,61848,,"-0,11%"
848,23.10.2020,63025,63088,63686,62526,,"0,34%"
849,22.10.2020,62809,62808,63857,61937,,"0,14%"
850,21.10.2020,62719,62918,63612,62544,,"0,46%"
851,20.10.2020,62430,62172,63025,61714,,"1,31%"
852,19.10.2020,61620,61669,63396,61376,,"0,00%"
853,16.10.2020,61621,61826,62618,61415,,"-0,17%"
854,15.10.2020,61726,61802,62109,60315,,"0,70%"
855,14.10.2020,61298,61500,62679,60955,,"0,16%"
856,13.10.2020,61201,61234,63795,60974,,"-3,47%"
857,12.10.2020,63399,63344,64733,62862,,"-0,19%"
858,09.10.2020,63518,60997,63593,60997,,"4,81%"
859,08.10.2020,60603,60603,61693,60189,,"0,84%"
860,07.10.2020,60096,60102,60739,58182,,"3,98%"
861,06.10.2020,57797,57730,61160,57482,,"-4,43%"
862,05.10.2020,60476,60539,61018,59082,,"2,00%"
863,02.10.2020,59293,59305,60324,58532,,"0,50%"
864,01.10.2020,58999,58807,60091,57633,,"2,51%"
865,30.09.2020,57552,57330,60999,57687,,"-5,75%"
866,29.09.2020,61062,61022,61420,58739,,"3,09%"
867,28.09.2020,59232,58949,59747,55619,,"4,93%"
868,25.09.2020,56447,56981,57007,55092,,"-0,44%"
869,24.09.2020,56696,56588,57192,53773,,"4,60%"
870,23.09.2020,54202,56317,60365,53994,,"-9,35%"
871,22.09.2020,59792,59919,61835,58761,,"-1,72%"
872,21.09.2020,60841,60385,65582,58506,,"-6,57%"
873,18.09.2020,65119,65717,66123,65027,,"-0,52%"
874,17.09.2020,65462,65445,65818,63957,,"0,34%"
875,16.09.2020,65242,65266,66137,64962,,"0,49%"
876,15.09.2020,64924,65039,66471,65055,,"-0,21%"
877,14.09.2020,65058,65021,65741,64194,,"1,25%"
878,11.09.2020,64258,64231,64934,63644,,"0,53%"
879,10.09.2020,63917,64092,65864,63965,,"-1,26%"
880,09.09.2020,64734,64585,65341,63649,,"1,48%"
881,08.09.2020,63789,63905,64973,62260,,"-0,67%"
882,07.09.2020,64217,64258,64951,63724,,"0,03%"
883,04.09.2020,64198,63160,64631,63122,,"1,26%"
884,03.09.2020,63398,63302,65795,63169,,"-2,63%"
885,02.09.2020,65108,64931,67071,64357,,"-1,73%"
886,01.09.2020,66257,66074,68404,65871,,"0,00%"
887,31.08.2020,66260,66250,67077,65222,,"2,49%"
888,28.08.2020,64652,64667,65364,63532,,"1,79%"
889,27.08.2020,63512,63860,65674,62762,,"-1,67%"
890,26.08.2020,64588,64878,65327,61774,,"2,94%"
891,25.08.2020,62741,62792,63538,62008,,"0,05%"
892,24.08.2020,62707,62893,64560,62047,,"-0,74%"
893,21.08.2020,63177,64477,64690,60530,,"-1,85%"
894,20.08.2020,64369,64073,64674,62341,,"3,70%"
895,19.08.2020,62074,61948,66395,62156,,"-5,76%"
896,18.08.2020,65869,65413,67470,64444,,"1,75%"
897,17.08.2020,64733,65029,65438,61349,,"3,34%"
898,14.08.2020,62643,64786,65067,61359,,"-2,92%"
899,13.08.2020,64530,64476,65420,60272,,"8,09%"
900,12.08.2020,59703,59933,61808,54733,,"1,03%"
901,11.08.2020,59097,57737,68721,56986,,"-12,35%"
902,10.08.2020,67427,67674,69028,65476,,"1,95%"
903,07.08.2020,66137,69341,69457,63555,,"-4,25%"
904,06.08.2020,69076,67986,69528,60873,,"13,66%"
905,05.08.2020,60775,60820,61544,56923,,"4,36%"
906,04.08.2020,58236,58699,58489,54135,,"7,46%"
907,03.08.2020,54194,54381,56982,54042,,"-0,78%"
908,31.07.2020,54618,52663,54920,52223,,"4,08%"
909,30.07.2020,52475,52537,54790,51497,,"-3,03%"
910,29.07.2020,54117,54267,55926,52396,,"0,88%"
911,28.07.2020,53643,54511,57808,49482,,"-3,31%"
912,27.07.2020,55482,53896,56631,50517,,"10,73%"
913,24.07.2020,50108,49628,50427,49308,,"0,91%"
914,23.07.2020,49656,49652,50898,49147,,"-1,24%"
915,22.07.2020,50279,50673,51150,47307,,"3,35%"
916,21.07.2020,48648,46621,49300,43808,,"11,28%"
917,20.07.2020,43717,43819,43921,42460,,"2,49%"
918,17.07.2020,42656,42268,42782,41746,,"1,16%"
919,16.07.2020,42168,42166,42899,42132,,"-1,31%"
920,15.07.2020,42729,42746,42953,42281,,"0,59%"
921,14.07.2020,42478,42293,42668,41697,,"0,95%"
922,13.07.2020,42078,41984,42733,41424,,"1,84%"
923,10.07.2020,41317,41219,41515,40816,,"0,58%"
924,09.07.2020,41078,41065,42017,40881,,"-0,20%"
925,08.07.2020,41162,41151,41423,40260,,"2,39%"
926,07.07.2020,40202,40151,40521,39723,,"-0,15%"
927,06.07.2020,40263,40185,40584,39589,,"1,35%"
928,03.07.2020,39727,39540,39942,39532,,"0,79%"
929,02.07.2020,39416,39483,39944,39192,,"-0,34%"
930,01.07.2020,39549,39543,40659,39354,,"-1,09%"
931,30.06.2020,39984,39981,40186,39130,,"1,91%"
932,29.06.2020,39236,39181,39551,38997,,"0,04%"
933,26.06.2020,39222,39190,39503,38602,,"0,31%"
934,25.06.2020,39102,39123,39307,38470,,"1,45%"
935,24.06.2020,38544,38448,39796,38471,,"-2,33%"
936,23.06.2020,39463,39383,39673,38902,,"1,09%"
937,22.06.2020,39038,38905,39683,38894,,"0,66%"
938,19.06.2020,38782,38376,39202,38309,,"1,49%"
939,18.06.2020,38211,38207,38943,38188,,"-0,53%"
940,17.06.2020,38413,38426,38750,38116,,"0,20%"
941,16.06.2020,38337,38333,38674,37942,,"0,38%"
942,15.06.2020,38193,38202,38472,37315,,"-0,31%"
943,12.06.2020,38312,38798,38977,38240,,"-1,18%"
944,11.06.2020,38769,38700,39728,38476,,"-1,15%"
945,10.06.2020,39221,39460,39634,38384,,"2,50%"
946,09.06.2020,38266,38235,38863,38171,,"-0,65%"
947,08.06.2020,38515,38657,38860,37891,,"1,46%"
948,05.06.2020,37962,38399,38604,37557,,"-1,13%"
949,04.06.2020,38394,38430,38796,37956,,"0,75%"
950,03.06.2020,38107,38163,39129,37911,,"-2,13%"
951,02.06.2020,38937,38955,40230,38404,,"-2,73%"
952,01.06.2020,40029,39974,40231,39487,,"2,21%"
953,29.05.2020,39164,38183,39330,37876,,"2,99%"
954,28.05.2020,38028,37978,38360,37456,,"1,69%"
955,27.05.2020,37397,37479,37790,36718,,"0,20%"
956,26.05.2020,37322,37353,38214,36881,,"0,07%"
957,25.05.2020,37297,37372,37629,37029,,"-0,62%"
958,22.05.2020,37528,37454,37769,36562,,"1,05%"
959,21.05.2020,37138,37203,38133,36957,,"-2,49%"
960,20.05.2020,38088,38121,38488,37786,,"-0,05%"
961,19.05.2020,38108,38132,38146,37144,,"1,01%"
962,18.05.2020,37728,37520,38683,37186,,"2,18%"
963,15.05.2020,36921,35342,37101,35147,,"4,66%"
964,14.05.2020,35276,35297,35441,34606,,"1,23%"
965,13.05.2020,34846,34840,35076,34550,,"0,57%"
966,12.05.2020,34650,34607,35254,34711,,"-1,26%"
967,11.05.2020,35093,35139,35628,34763,,"-0,56%"
968,08.05.2020,35290,35129,35794,34701,,"1,14%"
969,07.05.2020,34893,35081,35334,34343,,"1,52%"
970,06.05.2020,34370,34350,34842,33916,,"1,01%"
971,05.05.2020,34027,33968,34186,33325,,"1,43%"
972,04.05.2020,33548,33447,34022,33382,,"-0,73%"
973,01.05.2020,33794,33641,33895,33171,,"0,87%"
974,30.04.2020,33503,33555,34720,33215,,"-1,75%"
975,29.04.2020,34101,34108,34338,33780,,"0,32%"
976,28.04.2020,33991,33995,34249,33558,,"0,11%"
977,27.04.2020,33952,34061,34350,33789,,"-0,50%"
978,24.04.2020,34123,34082,34491,33818,,"-0,29%"
979,23.04.2020,34223,34190,34541,33634,,"1,59%"
980,22.04.2020,33689,33841,34033,32924,,"1,48%"
981,21.04.2020,33197,33389,34281,32741,,"-2,46%"
982,20.04.2020,34033,34165,34481,33405,,"0,52%"
983,17.04.2020,33857,34472,34668,33260,,"-1,54%"
984,16.04.2020,34387,34495,34734,34005,,"0,66%"
985,15.04.2020,34161,34253,34552,33879,,"-0,44%"
986,14.04.2020,34311,34461,34707,33440,,"2,08%"
987,13.04.2020,33612,33449,33810,32757,,"1,39%"
988,10.04.2020,33150,33150,33150,33150,,"0,00%"
989,09.04.2020,33150,32617,33179,32605,,"1,98%"
990,08.04.2020,32505,32407,32997,32399,,"0,10%"
991,07.04.2020,32474,32561,33291,32412,,"-2,87%"
992,06.04.2020,33435,32593,33496,31062,,"7,24%"
993,03.04.2020,31177,30852,31338,30687,,"1,81%"
994,02.04.2020,30622,30749,31092,30014,,"1,83%"
995,01.04.2020,30071,29962,30333,29620,,"1,86%"
996,31.03.2020,29523,29564,30082,29306,,"-0,21%"
997,30.03.2020,29584,29687,30007,28945,,"-1,14%"
998,27.03.2020,29925,29600,30140,29541,,"0,81%"
999,26.03.2020,29685,29558,30238,28058,,"0,34%"
1000,25.03.2020,29583,30034,30520,29048,,"-2,22%"
1001,24.03.2020,30256,29838,30488,27764,,"5,85%"
1002,23.03.2020,28584,27925,29071,26225,,"7,66%"
1003,20.03.2020,26551,25507,27129,25507,,"4,90%"
1004,19.03.2020,25310,25315,25755,24668,,"0,91%"
1005,18.03.2020,25081,24855,26533,24289,,"-4,23%"
1006,17.03.2020,26188,25926,27384,25324,,"-2,79%"
1007,16.03.2020,26941,26455,29983,24351,,"-10,35%"
1008,13.03.2020,30050,31908,32089,29444,,"-5,09%"
1009,12.03.2020,31662,31824,33806,31524,,"-5,26%"
1010,11.03.2020,33419,33427,33951,33321,,"-0,54%"
1011,10.03.2020,33600,33445,33868,33293,,"1,25%"
1012,09.03.2020,33184,33417,34498,32828,,"-2,48%"
1013,06.03.2020,34027,34323,34418,33460,,"-0,40%"
1014,05.03.2020,34162,34164,34351,33538,,"1,77%"
1015,04.03.2020,33568,33542,34138,33419,,"-0,82%"
1016,03.03.2020,33846,33747,34035,33202,,"0,85%"
1017,02.03.2020,33560,33399,34181,33021,,"0,26%"
1018,28.02.2020,33474,35511,35681,32918,,"-5,71%"
1019,27.02.2020,35501,35402,35929,35149,,"0,26%"
1020,26.02.2020,35408,35419,36047,35268,,"-0,33%"
1021,25.02.2020,35526,35451,36673,35345,,"-2,85%"
1022,24.02.2020,36568,36591,37400,36458,,"1,38%"
1023,21.02.2020,36070,36070,36628,36052,,"0,02%"
1024,20.02.2020,36063,35932,36157,35675,,"0,16%"
1025,19.02.2020,36006,35967,36099,35407,,"1,89%"
1026,18.02.2020,35338,35356,35552,34631,,"2,19%"
1027,17.02.2020,34582,34504,34808,34479,,"0,09%"
1028,14.02.2020,34551,34302,34682,34248,,"0,96%"
1029,13.02.2020,34224,34196,34555,34043,,"0,87%"
1030,12.02.2020,33930,33919,34228,33843,,"-0,35%"
1031,11.02.2020,34050,34041,34514,33988,,"-0,68%"
1032,10.02.2020,34284,34291,34530,34042,,"0,22%"
1033,07.02.2020,34210,34304,34563,34040,,"-0,18%"
1034,06.02.2020,34271,34220,34416,33878,,"1,31%"
1035,05.02.2020,33828,33824,34111,33667,,"0,19%"
1036,04.02.2020,33764,33747,34221,33669,,"-0,74%"
1037,03.02.2020,34016,33938,34759,33872,,"-1,93%"
1038,31.01.2020,34686,34275,34791,34208,,"1,29%"
1039,30.01.2020,34244,34241,34704,33668,,"1,99%"
1040,29.01.2020,33576,33532,33700,33216,,"0,63%"
1041,28.01.2020,33366,33308,34632,33320,,"-3,31%"
1042,27.01.2020,34507,34512,35057,34503,,"-0,20%"
