,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,02.01.2020,"1.159,32","1.149,03","1.159,32","1.145,66","2,41B","1,32%"
1,03.01.2020,"1.136,84","1.151,43","1.155,71","1.126,17","2,93B","-1,94%"
2,06.01.2020,"1.114,13","1.125,32","1.129,73","1.112,12","2,04B","-2,00%"
3,07.01.2020,"1.126,00","1.125,94","1.133,87","1.123,48","1,78B","1,07%"
4,08.01.2020,"1.128,76","1.109,61","1.133,42","1.107,46","2,33B","0,25%"
5,09.01.2020,"1.179,90","1.152,36","1.181,45","1.152,36","3,43B","4,53%"
6,10.01.2020,"1.186,64","1.182,51","1.191,40","1.177,01","3,28B","0,57%"
7,13.01.2020,"1.202,49","1.195,95","1.209,00","1.195,95","2,88B","1,34%"
8,14.01.2020,"1.214,23","1.203,93","1.215,04","1.195,75","2,57B","0,98%"
9,15.01.2020,"1.209,39","1.212,33","1.218,04","1.204,42","3,38B","-0,40%"
10,16.01.2020,"1.210,01","1.213,78","1.224,82","1.207,63","3,21B","0,05%"
11,17.01.2020,"1.214,75","1.216,19","1.218,74","1.205,97","2,09B","0,39%"
12,20.01.2020,"1.226,20","1.218,79","1.229,26","1.218,79","2,28B","0,94%"
13,21.01.2020,"1.235,56","1.218,87","1.238,04","1.215,04","2,80B","0,76%"
14,22.01.2020,"1.227,47","1.242,16","1.245,37","1.223,69","2,61B","-0,65%"
15,23.01.2020,"1.225,40","1.223,92","1.234,57","1.221,88","2,16B","-0,17%"
16,24.01.2020,"1.221,42","1.236,94","1.239,36","1.207,61","2,37B","-0,32%"
17,27.01.2020,"1.201,50","1.207,12","1.216,74","1.200,00","2,36B","-1,63%"
18,28.01.2020,"1.198,02","1.208,16","1.211,09","1.194,03","2,31B","-0,29%"
19,29.01.2020,"1.196,89","1.205,86","1.207,41","1.195,06","2,25B","-0,09%"
20,30.01.2020,"1.198,50","1.192,31","1.198,72","1.182,56","2,10B","0,13%"
21,31.01.2020,"1.191,40","1.200,96","1.203,18","1.191,40","2,69B","-0,59%"
22,03.02.2020,"1.192,43","1.194,37","1.197,84","1.187,62","2,38B","0,09%"
23,04.02.2020,"1.221,36","1.204,76","1.222,20","1.201,59","2,36B","2,43%"
24,05.02.2020,"1.223,21","1.224,17","1.236,29","1.219,06","2,82B","0,15%"
25,06.02.2020,"1.222,84","1.227,12","1.238,45","1.219,92","2,66B","-0,03%"
26,07.02.2020,"1.210,15","1.224,76","1.228,12","1.209,13","2,14B","-1,04%"
27,10.02.2020,"1.183,42","1.204,59","1.211,90","1.166,48","2,79B","-2,21%"
28,11.02.2020,"1.197,98","1.195,05","1.200,78","1.174,51","2,69B","1,23%"
29,12.02.2020,"1.200,49","1.199,40","1.213,70","1.192,29","3,00B","0,21%"
30,13.02.2020,"1.205,41","1.200,00","1.208,12","1.194,72","2,21B","0,41%"
31,14.02.2020,"1.201,51","1.210,82","1.215,81","1.200,49","2,31B","-0,32%"
32,17.02.2020,"1.207,92","1.209,82","1.212,42","1.205,61","2,56B","0,53%"
33,18.02.2020,"1.195,74","1.204,51","1.204,51","1.191,45","2,57B","-1,01%"
34,19.02.2020,"1.191,96","1.200,36","1.204,65","1.185,71","2,08B","-0,32%"
35,20.02.2020,"1.156,42","1.192,89","1.193,50","1.149,21","2,65B","-2,98%"
36,21.02.2020,"1.168,29","1.150,89","1.174,15","1.144,53","2,60B","1,03%"
37,24.02.2020,"1.147,89","1.149,84","1.149,84","1.134,63","1,97B","-1,75%"
38,25.02.2020,"1.143,65","1.156,26","1.159,92","1.138,50","2,51B","-0,37%"
39,26.02.2020,"1.151,71","1.142,82","1.153,53","1.131,47","2,28B","0,70%"
40,27.02.2020,"1.104,18","1.139,76","1.144,64","1.104,18","2,54B","-4,13%"
41,28.02.2020,"1.059,94","993,32","1.077,60","993,32","1,79B","-4,01%"
42,02.03.2020,"1.073,10","1.083,79","1.094,05","1.064,25","1,70B","1,24%"
43,03.03.2020,"1.112,07","1.089,97","1.112,07","1.088,81","1,84B","3,63%"
44,04.03.2020,"1.107,85","1.109,59","1.128,99","1.106,78","2,19B","-0,38%"
45,05.03.2020,"1.118,15","1.125,05","1.131,07","1.114,03","1,56B","0,93%"
46,06.03.2020,"1.096,01","1.116,54","1.123,45","1.087,75","1,50B","-1,98%"
47,09.03.2020,"1.035,24","1.065,40","1.065,85","1.019,95","1,59B","-5,54%"
48,10.03.2020,"1.010,63","1.060,21","1.068,57","1.010,22","1,82B","-2,38%"
49,11.03.2020,"1.009,66","1.004,16","1.028,39","988,06","1,86B","-0,10%"
50,12.03.2020,"936,39","984,48","990,27","928,54","1,74B","-7,26%"
51,13.03.2020,"956,05","936,58","988,56","916,44","2,26B","2,10%"
52,16.03.2020,"878,88","922,64","922,64","868,53","1,39B","-8,07%"
53,17.03.2020,"867,78","889,23","889,49","819,36","2,07B","-1,26%"
54,18.03.2020,"855,77","847,77","878,25","843,03","1,67B","-1,38%"
55,19.03.2020,"851,95","849,40","868,79","840,72","1,77B","-0,45%"
56,20.03.2020,"857,96","872,17","880,93","850,05","1,61B","0,71%"
57,23.03.2020,"842,46","830,44","865,87","825,28","1,79B","-1,81%"
58,24.03.2020,"892,86","875,71","896,38","870,50","1,94B","5,98%"
59,25.03.2020,"890,63","905,19","919,59","881,23","2,64B","-0,25%"
60,26.03.2020,"915,28","889,60","918,07","884,81","2,39B","2,77%"
61,27.03.2020,"881,25","918,34","922,99","881,25","2,11B","-3,72%"
62,30.03.2020,"880,59","879,37","888,12","868,15","1,43B","-0,07%"
63,31.03.2020,"896,44","892,79","902,69","886,42","1,93B","1,80%"
64,01.04.2020,"890,85","882,86","903,99","878,89","2,54B","-0,62%"
65,02.04.2020,"895,11","897,48","904,09","880,82","2,38B","0,48%"
66,03.04.2020,"895,53","896,14","899,69","890,43","1,57B","0,05%"
67,06.04.2020,"920,71","909,89","921,58","906,31","1,79B","2,81%"
68,07.04.2020,"923,82","931,74","947,79","923,82","2,82B","0,34%"
69,08.04.2020,"932,25","924,82","932,75","918,03","1,69B","0,91%"
70,09.04.2020,"958,34","942,75","958,34","936,29","2,85B","2,80%"
71,10.04.2020,"964,71","962,01","974,83","953,52","2,23B","0,66%"
72,13.04.2020,"963,99","954,63","973,12","950,19","1,99B","-0,07%"
73,14.04.2020,"985,50","974,91","986,30","972,73","2,40B","2,23%"
74,15.04.2020,"958,55","989,45","990,44","946,02","2,44B","-2,73%"
75,16.04.2020,"962,49","967,06","970,65","953,30","2,09B","0,41%"
76,17.04.2020,"981,80","982,87","987,59","976,01","2,33B","2,01%"
77,20.04.2020,"989,46","986,62","992,67","980,68","2,21B","0,78%"
78,21.04.2020,"976,19","983,68","985,03","972,76","2,23B","-1,34%"
79,22.04.2020,"981,71","981,29","989,62","978,97","2,29B","0,57%"
80,24.04.2020,"987,59","984,49","994,97","979,29","2,24B","0,60%"
81,27.04.2020,"1.012,67","1.000,86","1.013,61","1.000,86","2,56B","2,54%"
82,28.04.2020,"1.007,07","1.015,43","1.019,18","1.006,21","2,48B","-0,55%"
83,29.04.2020,"1.015,95","1.012,12","1.017,43","1.005,79","2,14B","0,88%"
84,30.04.2020,"1.011,10","1.019,96","1.023,28","993,60","2,32B","-0,48%"
85,04.05.2020,"988,42","1.002,54","1.002,54","983,06","1,70B","-2,24%"
86,05.05.2020,"987,38","996,34","997,91","978,80","2,04B","-0,11%"
87,06.05.2020,"985,71","988,86","992,80","980,69","2,28B","-0,17%"
88,07.05.2020,"983,99","985,80","992,73","978,00","2,39B","-0,17%"
89,08.05.2020,"978,45","989,03","995,14","976,72","2,60B","-0,56%"
90,11.05.2020,"977,92","984,20","986,41","977,92","2,09B","-0,05%"
91,12.05.2020,"996,16","979,26","997,08","977,40","2,54B","1,87%"
92,13.05.2020,"1.001,59","997,05","1.008,65","994,43","2,39B","0,55%"
93,14.05.2020,"991,93","1.000,08","1.003,81","984,94","2,33B","-0,96%"
94,15.05.2020,"997,68","996,78","1.008,13","996,78","1,88B","0,58%"
95,18.05.2020,"1.019,83","1.008,97","1.022,25","1.008,97","2,42B","2,22%"
96,20.05.2020,"1.021,58","1.024,92","1.029,98","1.019,68","2,07B","0,17%"
97,21.05.2020,"1.026,49","1.022,24","1.032,27","1.021,49","2,06B","0,48%"
98,22.05.2020,"1.030,24","1.024,54","1.033,07","1.020,14","1,57B","0,37%"
99,27.05.2020,"1.049,54","1.037,98","1.054,95","1.037,98","2,55B","1,87%"
100,28.05.2020,"1.053,60","1.055,56","1.062,92","1.045,35","2,68B","0,39%"
