,Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
60,02.01.2024,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,11.515359,"27,726,102.0",245,"319,276,018.1"
61,02.01.2024,AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.921575,"16,225,938.0",481,"14,953,421.96"
62,02.01.2024,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.221564,"2,229,893,675.0","35,879","494,065,156.13"
63,02.01.2024,AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,0.766963,"87,756,305.0",35,"67,305,869.25"
64,02.01.2024,APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,3.416598,"26,560,962.0","2,650","90,748,137.78"
65,02.01.2024,APP,AK PORTFÖY P1 SERBEST ÖZEL FON,12.886328,"19,232,984.0",2,"247,842,539.73"
66,02.01.2024,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,0.07515,"488,829,401.0","12,811","36,735,490.77"
67,02.01.2024,ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,0.128601,"243,502,851.0","1,719","31,314,732.28"
68,02.01.2024,ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,3.309448,"90,349,894.0",1,"299,008,281.2"
69,02.01.2024,ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,6.043893,"360,503,697.0","7,980","2,178,845,843.73"
70,02.01.2024,ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,7.356502,"179,764,027.0","5,655","1,322,434,452.64"
71,02.01.2024,ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,13.567839,"140,717,227.0",1,"1,909,228,738.6"
72,02.01.2024,AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,29.8155,"631,901.0",34,"18,840,443.96"
73,02.01.2024,ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.879458,"34,004,119.0",994,"63,909,306.99"
74,02.01.2024,ATJ,AZİMUT PORTFÖY ÇINAR SERBEST (TL) ÖZEL FON,10.856891,"22,727,829.0",6,"246,753,571.11"
75,02.01.2024,AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,3.938186,"11,509,391.0",60,"45,326,122.99"
76,02.01.2024,AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,106.268263,"1,491,498.0",16,"158,498,901.27"
77,02.01.2024,AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,75.312157,"9,609,860.0","15,764","723,739,287.44"
78,02.01.2024,AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,49.979941,"2,573,752.0",1,"128,635,973.52"
79,02.01.2024,AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),10.461502,"8,968,766.0","3,501","93,826,761.46"
80,02.01.2024,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.047232,"15,912,320,870.0","12,148","751,570,646.56"
81,02.01.2024,AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,0.058418,"3,811,847,320.0",9,"222,680,102.26"
82,02.01.2024,AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,6.439085,"11,257,246.0",60,"72,486,358.56"
83,02.01.2024,AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,12.400632,"166,158,516.0",5,"2,060,470,600.78"
84,02.01.2024,AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,34.722188,"74,947,860.0",8,"2,602,353,716.23"
85,02.01.2024,BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,1.535601,"192,928,006.0",4,"296,260,507.89"
86,02.01.2024,BBF,A1 PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,1.10435,"93,015,119.0",468,"102,721,229.61"
87,02.01.2024,BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,0.971616,"679,926.0",11,"660,627.28"
88,02.01.2024,BDC,AURA PORTFÖY BODRUM SERBEST FON,3.029812,"56,480,856.0",51,"171,126,379.15"
89,02.01.2024,BDI,A1 PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.687449,"75,994,986.0",94,"52,242,681.04"
90,02.01.2024,BGH,AZİMUT PORTFÖY BGN SERBEST ÖZEL FON,1.295577,"431,016,798.0",1,"558,415,362.07"
91,02.01.2024,BGI,ALLBATROSS PORTFÖY GİSELDA SERBEST (TL) FON,4.029629,"191,924,062.0",15,"773,382,709.64"
92,02.01.2024,BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,2.056668,"327,326,228.0","1,350","673,201,408.64"
93,02.01.2024,BHE,AK PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.0,0.0,0,0.0
94,02.01.2024,BHF,A1 PORTFÖY BİRİNCİ DEĞİŞKEN FON,1.069351,"83,874,381.0",177,"89,691,168.31"
95,02.01.2024,BHH,A1 PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),1.237878,"922,708,791.0",94,"1,142,201,310.77"
96,02.01.2024,BHI,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.0,0.0,0,0.0
97,02.01.2024,BID,QNB FİNANS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.770883,"139,053,757.0","3,900","246,247,928.22"
98,02.01.2024,BIH,A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.092752,"99,726,985.0",207,"108,976,857.74"
99,02.01.2024,BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.063398,"45,581,994.0","1,402","48,471,813.27"
