Fon Kodu	Tarih	Attribute	Value
AC5	2024-02-04	ISIN Kodu	TRYA1PY00065
AC5	2024-02-04	İşlem Başlangıç Saati	09:00
AC5	2024-02-04	Kodu	AC5
AC5	2024-02-04	Son İşlem Saati	17:45
AC6	2024-02-04	Fon Alış Valörü	1.0
AC6	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AC6	2024-02-04	İşlem Başlangıç Saati	09:00
AC6	2024-02-04	Min. Alış İşlem Miktarı	1
AC6	2024-02-04	Max. Satış İşlem Miktarı	
AC6	2024-02-04	Giriş Komisyonu	
AC6	2024-02-04	Son İşlem Saati	17:45
AC6	2024-02-04	Fon Satış Valörü	2.0
AC6	2024-02-04	Kodu	AC6
AC6	2024-02-04	ISIN Kodu	TRYA1PY00107
AC6	2024-02-04	Çıkış Komisyonu	
AC6	2024-02-04	Max. Alış İşlem Miktarı	
AC6	2024-02-04	Min. Satış İşlem Miktarı	1
AC6	2024-02-04	Fonun Faiz İçeriği	
AC6	2024-02-04	Fonun Risk Değeri	7
ACC	2024-02-04	Son İşlem Saati	13:30
ACC	2024-02-04	İşlem Başlangıç Saati	09:00
ACC	2024-02-04	Max. Alış İşlem Miktarı	999.999.999.999.999
ACC	2024-02-04	Fonun Faiz İçeriği	
ACC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ACC	2024-02-04	Fonun Risk Değeri	7
ACC	2024-02-04	Min. Satış İşlem Miktarı	1
ACC	2024-02-04	Giriş Komisyonu	
ACC	2024-02-04	Max. Satış İşlem Miktarı	999.999.999.999.999
ACC	2024-02-04	ISIN Kodu	TRYACTU00027
ACC	2024-02-04	Fon Alış Valörü	1.0
ACC	2024-02-04	Min. Alış İşlem Miktarı	1
ACC	2024-02-04	Kodu	ACC
ACC	2024-02-04	Fon Satış Valörü	2.0
ACC	2024-02-04	Çıkış Komisyonu	
ACD	2024-02-04	Fonun Faiz İçeriği	
ACD	2024-02-04	Fon Satış Valörü	2.0
ACD	2024-02-04	İşlem Başlangıç Saati	09:00
ACD	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ACD	2024-02-04	Min. Alış İşlem Miktarı	1
ACD	2024-02-04	Çıkış Komisyonu	
ACD	2024-02-04	Giriş Komisyonu	
ACD	2024-02-04	Max. Satış İşlem Miktarı	
ACD	2024-02-04	Fonun Risk Değeri	
ACD	2024-02-04	Max. Alış İşlem Miktarı	
ACD	2024-02-04	Fon Alış Valörü	1.0
ACD	2024-02-04	Son İşlem Saati	13:30
ACD	2024-02-04	Min. Satış İşlem Miktarı	1
ACD	2024-02-04	Kodu	ACD
ACD	2024-02-04	ISIN Kodu	TRMACDWWWWW8
ACK	2024-02-04	İşlem Başlangıç Saati	09:00
ACK	2024-02-04	Giriş Komisyonu	
ACK	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ACK	2024-02-04	Min. Alış İşlem Miktarı	1
ACK	2024-02-04	Son İşlem Saati	13:30
ACK	2024-02-04	ISIN Kodu	TRYACMD00010
ACK	2024-02-04	Min. Satış İşlem Miktarı	1
ACK	2024-02-04	Fonun Faiz İçeriği	
ACK	2024-02-04	Fon Satış Valörü	2.0
ACK	2024-02-04	Fon Alış Valörü	1.0
ACK	2024-02-04	Çıkış Komisyonu	
ACK	2024-02-04	Kodu	ACK
ACK	2024-02-04	Fonun Risk Değeri	
ACK	2024-02-04	Max. Alış İşlem Miktarı	
ACK	2024-02-04	Max. Satış İşlem Miktarı	
ACU	2024-02-04	Fonun Faiz İçeriği	
ACU	2024-02-04	Son İşlem Saati	17:00
ACU	2024-02-04	Max. Alış İşlem Miktarı	
ACU	2024-02-04	Min. Alış İşlem Miktarı	1
ACU	2024-02-04	Fon Alış Valörü	
ACU	2024-02-04	ISIN Kodu	TRYACTU00084
ACU	2024-02-04	Min. Satış İşlem Miktarı	1
ACU	2024-02-04	İşlem Başlangıç Saati	09:00
ACU	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ACU	2024-02-04	Max. Satış İşlem Miktarı	
ACU	2024-02-04	Giriş Komisyonu	
ACU	2024-02-04	Fonun Risk Değeri	
ACU	2024-02-04	Kodu	ACU
ACU	2024-02-04	Fon Satış Valörü	
ACU	2024-02-04	Çıkış Komisyonu	
ADE	2024-02-04	Çıkış Komisyonu	
ADE	2024-02-04	Kodu	ADE
ADE	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
ADE	2024-02-04	İşlem Başlangıç Saati	09:00
ADE	2024-02-04	Fonun Faiz İçeriği	
ADE	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ADE	2024-02-04	Min. Satış İşlem Miktarı	1
ADE	2024-02-04	ISIN Kodu	TRMADEWWWWW4
ADE	2024-02-04	Fon Satış Valörü	1.0
ADE	2024-02-04	Min. Alış İşlem Miktarı	1
ADE	2024-02-04	Fon Alış Valörü	1.0
ADE	2024-02-04	Fonun Risk Değeri	1
ADE	2024-02-04	Giriş Komisyonu	
ADE	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
ADE	2024-02-04	Son İşlem Saati	17:45
ADP	2024-02-04	Min. Alış İşlem Miktarı	1
ADP	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
ADP	2024-02-04	ISIN Kodu	TRMADFWWWWW1
ADP	2024-02-04	Çıkış Komisyonu	
ADP	2024-02-04	Kodu	ADP
ADP	2024-02-04	Giriş Komisyonu	
ADP	2024-02-04	Fon Satış Valörü	2.0
ADP	2024-02-04	İşlem Başlangıç Saati	09:00
ADP	2024-02-04	Fonun Risk Değeri	
ADP	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ADP	2024-02-04	Fon Alış Valörü	1.0
ADP	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
ADP	2024-02-04	Son İşlem Saati	17:45
ADP	2024-02-04	Min. Satış İşlem Miktarı	1
ADP	2024-02-04	Fonun Faiz İçeriği	
AED	2024-02-04	Son İşlem Saati	17:30
AED	2024-02-04	Max. Satış İşlem Miktarı	
AED	2024-02-04	ISIN Kodu	TRYATAM00010
AED	2024-02-04	Fonun Risk Değeri	5
AED	2024-02-04	Max. Alış İşlem Miktarı	
AED	2024-02-04	Fon Alış Valörü	1.0
AED	2024-02-04	Fonun Faiz İçeriği	
AED	2024-02-04	Min. Alış İşlem Miktarı	1
AED	2024-02-04	Fon Satış Valörü	2.0
AED	2024-02-04	Kodu	AED
AED	2024-02-04	Giriş Komisyonu	
AED	2024-02-04	Min. Satış İşlem Miktarı	1
AED	2024-02-04	Çıkış Komisyonu	
AED	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AED	2024-02-04	İşlem Başlangıç Saati	09:00
AES	2024-02-04	Fon Satış Valörü	3.0
AES	2024-02-04	Çıkış Komisyonu	
