Fon Kodu	Tarih	Attribute	Value
GKV	2024-02-04	Fonun Faiz İçeriği	
GKV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GKV	2024-02-04	Min. Satış İşlem Miktarı	1
GKV	2024-02-04	Fonun Risk Değeri	
GKV	2024-02-04	Fon Satış Valörü	2.0
GKV	2024-02-04	Çıkış Komisyonu	
GKV	2024-02-04	Giriş Komisyonu	
GKV	2024-02-04	Min. Alış İşlem Miktarı	1
GKV	2024-02-04	Fon Alış Valörü	1.0
GKV	2024-02-04	ISIN Kodu	TRYGAPO01068
GKV	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GL1	2024-02-04	Çıkış Komisyonu	
GL1	2024-02-04	Max. Alış İşlem Miktarı	10.000.000
GL1	2024-02-04	Fon Satış Valörü	2.0
GL1	2024-02-04	Max. Satış İşlem Miktarı	
GL1	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GL1	2024-02-04	İşlem Başlangıç Saati	09:00
GL1	2024-02-04	Kodu	GL1
GL1	2024-02-04	Min. Alış İşlem Miktarı	1
GL1	2024-02-04	Fon Alış Valörü	1.0
GL1	2024-02-04	Min. Satış İşlem Miktarı	1
GL1	2024-02-04	Fonun Faiz İçeriği	
GL1	2024-02-04	ISIN Kodu	TRMGL1WWWWW0
GL1	2024-02-04	Giriş Komisyonu	
GL1	2024-02-04	Fonun Risk Değeri	6
GL1	2024-02-04	Son İşlem Saati	13:30
GLC	2024-02-04	Fon Satış Valörü	3.0
GLC	2024-02-04	İşlem Başlangıç Saati	09:00
GLC	2024-02-04	ISIN Kodu	TRYGMDP00118
GLC	2024-02-04	Min. Satış İşlem Miktarı	1
GLC	2024-02-04	Son İşlem Saati	12:30
GLC	2024-02-04	Fonun Risk Değeri	5
GLC	2024-02-04	Giriş Komisyonu	
GLC	2024-02-04	Max. Alış İşlem Miktarı	
GLC	2024-02-04	Fon Alış Valörü	1.0
GLC	2024-02-04	Kodu	GLC
GLC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GLC	2024-02-04	Fonun Faiz İçeriği	
GLC	2024-02-04	Max. Satış İşlem Miktarı	
GLC	2024-02-04	Çıkış Komisyonu	
GLC	2024-02-04	Min. Alış İşlem Miktarı	1
GLG	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GLG	2024-02-04	Min. Satış İşlem Miktarı	1
GLG	2024-02-04	Son İşlem Saati	13:30
GLG	2024-02-04	Fon Satış Valörü	2.0
GLG	2024-02-04	Fon Alış Valörü	1.0
GLG	2024-02-04	Min. Alış İşlem Miktarı	1
GLG	2024-02-04	İşlem Başlangıç Saati	09:00
GLG	2024-02-04	Max. Alış İşlem Miktarı	
GLG	2024-02-04	Çıkış Komisyonu	
GLG	2024-02-04	Kodu	GLG
GLG	2024-02-04	ISIN Kodu	TRYGMDP00126
GLG	2024-02-04	Max. Satış İşlem Miktarı	
GLG	2024-02-04	Fonun Faiz İçeriği	
GLG	2024-02-04	Giriş Komisyonu	
GLG	2024-02-04	Fonun Risk Değeri	6
GLS	2024-02-04	Son İşlem Saati	13:30
GLS	2024-02-04	Giriş Komisyonu	
GLS	2024-02-04	Kodu	GLS
GLS	2024-02-04	Çıkış Komisyonu	
GLS	2024-02-04	Fon Satış Valörü	1.0
GLS	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GLS	2024-02-04	Min. Alış İşlem Miktarı	1
GLS	2024-02-04	Min. Satış İşlem Miktarı	1
GLS	2024-02-04	Max. Alış İşlem Miktarı	10.000.000.000
GLS	2024-02-04	Fon Alış Valörü	1.0
GLS	2024-02-04	Fonun Risk Değeri	2
GLS	2024-02-04	Fonun Faiz İçeriği	
GLS	2024-02-04	Max. Satış İşlem Miktarı	
GLS	2024-02-04	ISIN Kodu	TRYGLMK00047
GLS	2024-02-04	İşlem Başlangıç Saati	09:00
GMA	2024-02-04	Min. Alış İşlem Miktarı	1
GMA	2024-02-04	Fon Satış Valörü	2.0
GMA	2024-02-04	İşlem Başlangıç Saati	09:00
GMA	2024-02-04	Giriş Komisyonu	
GMA	2024-02-04	Max. Satış İşlem Miktarı	
GMA	2024-02-04	Kodu	GMA
GMA	2024-02-04	ISIN Kodu	TRMBYKWWWWW5
GMA	2024-02-04	Fonun Faiz İçeriği	
GMA	2024-02-04	Max. Alış İşlem Miktarı	1.000.000.000
GMA	2024-02-04	Son İşlem Saati	13:30
GMA	2024-02-04	Fonun Risk Değeri	4
GMA	2024-02-04	Fon Alış Valörü	1.0
GMA	2024-02-04	Min. Satış İşlem Miktarı	1
GMA	2024-02-04	Çıkış Komisyonu	
GMA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GMC	2024-02-04	Fonun Faiz İçeriği	
GMC	2024-02-04	Min. Satış İşlem Miktarı	1
GMC	2024-02-04	Fonun Risk Değeri	7
GMC	2024-02-04	Son İşlem Saati	17:45
GMC	2024-02-04	Min. Alış İşlem Miktarı	1
GMC	2024-02-04	Fon Satış Valörü	3.0
GMC	2024-02-04	Giriş Komisyonu	
GMC	2024-02-04	İşlem Başlangıç Saati	09:00
GMC	2024-02-04	Fon Alış Valörü	1.0
GMC	2024-02-04	Max. Satış İşlem Miktarı	100.000.000
GMC	2024-02-04	Kodu	GMC
GMC	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GMC	2024-02-04	ISIN Kodu	TRYTEBP00260
GMC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GMC	2024-02-04	Çıkış Komisyonu	
GMD	2024-02-04	Kodu	GMD
GMD	2024-02-04	Giriş Komisyonu	
GMD	2024-02-04	ISIN Kodu	TRYGMDP00092
GMD	2024-02-04	Min. Alış İşlem Miktarı	1
GMD	2024-02-04	Fon Alış Valörü	1.0
GMD	2024-02-04	İşlem Başlangıç Saati	09:00
GMD	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GMD	2024-02-04	Max. Alış İşlem Miktarı	
GMD	2024-02-04	Max. Satış İşlem Miktarı	
GMD	2024-02-04	Çıkış Komisyonu	
GMD	2024-02-04	Min. Satış İşlem Miktarı	1
GMD	2024-02-04	Fonun Risk Değeri	4
GMD	2024-02-04	Fon Satış Valörü	3.0
GMD	2024-02-04	Son İşlem Saati	12:30
GMD	2024-02-04	Fonun Faiz İçeriği	
GMR	2024-02-04	Fon Alış Valörü	1.0
GMR	2024-02-04	Fonun Faiz İçeriği	
GMR	2024-02-04	İşlem Başlangıç Saati	09:00
GMR	2024-02-04	Min. Alış İşlem Miktarı	100
GMR	2024-02-04	Min. Satış İşlem Miktarı	100
GMR	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GMR	2024-02-04	Son İşlem Saati	17:45
GMR	2024-02-04	Çıkış Komisyonu	
GMR	2024-02-04	Fon Satış Valörü	2.0
GMR	2024-02-04	Giriş Komisyonu	
GMR	2024-02-04	Max. Alış İşlem Miktarı	50.000.000
GMR	2024-02-04	Fonun Risk Değeri	6
GMR	2024-02-04	Kodu	GMR
GMR	2024-02-04	ISIN Kodu	TRYGDKM00010
GMR	2024-02-04	Max. Satış İşlem Miktarı	
GO1	2024-02-04	Son İşlem Saati	17:00
GO1	2024-02-04	Fonun Risk Değeri	
GO1	2024-02-04	Min. Satış İşlem Miktarı	1
GO1	2024-02-04	İşlem Başlangıç Saati	09:00
GO1	2024-02-04	Giriş Komisyonu	
GO1	2024-02-04	Min. Alış İşlem Miktarı	1
GO1	2024-02-04	ISIN Kodu	TRYGRIP00017
GO1	2024-02-04	Kodu	GO1
GO1	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GO1	2024-02-04	Fon Satış Valörü	1.0
GO1	2024-02-04	Max. Satış İşlem Miktarı	50.000.000
GO1	2024-02-04	Çıkış Komisyonu	
GO1	2024-02-04	Fonun Faiz İçeriği	
GO1	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GO1	2024-02-04	Fon Alış Valörü	1.0
GO2	2024-02-04	Çıkış Komisyonu	
GO2	2024-02-04	Min. Alış İşlem Miktarı	1
GO2	2024-02-04	Son İşlem Saati	17:00
GO2	2024-02-04	ISIN Kodu	TRYGRIP00025
GO2	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GO2	2024-02-04	Fon Satış Valörü	2.0
GO2	2024-02-04	Fonun Risk Değeri	
GO2	2024-02-04	Max. Satış İşlem Miktarı	50.000.000
GO2	2024-02-04	Min. Satış İşlem Miktarı	1
GO2	2024-02-04	Fon Alış Valörü	1.0
GO2	2024-02-04	Giriş Komisyonu	
GO2	2024-02-04	Kodu	GO2
GO2	2024-02-04	Fonun Faiz İçeriği	
GO2	2024-02-04	İşlem Başlangıç Saati	09:00
GO2	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GO3	2024-02-04	İşlem Başlangıç Saati	09:00
GO3	2024-02-04	Max. Satış İşlem Miktarı	50.000.000
GO3	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GO3	2024-02-04	Giriş Komisyonu	
GO3	2024-02-04	Çıkış Komisyonu	
GO3	2024-02-04	Min. Satış İşlem Miktarı	1
GO3	2024-02-04	Fon Satış Valörü	3.0
GO3	2024-02-04	Fonun Faiz İçeriği	
GO3	2024-02-04	Son İşlem Saati	17:00
GO3	2024-02-04	Fon Alış Valörü	1.0
GO3	2024-02-04	ISIN Kodu	TRYGRIP00033
GO3	2024-02-04	Fonun Risk Değeri	
GO3	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GO3	2024-02-04	Min. Alış İşlem Miktarı	1
GO3	2024-02-04	Kodu	GO3
GO4	2024-02-04	Giriş Komisyonu	
GO4	2024-02-04	Fon Satış Valörü	3.0
GO4	2024-02-04	ISIN Kodu	TRYGRIP00041
GO4	2024-02-04	Fonun Risk Değeri	
GO4	2024-02-04	Max. Satış İşlem Miktarı	50.000.000
GO4	2024-02-04	Fon Alış Valörü	1.0
GO4	2024-02-04	Kodu	GO4
GO4	2024-02-04	İşlem Başlangıç Saati	09:00
GO4	2024-02-04	Min. Alış İşlem Miktarı	1
GO4	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GO4	2024-02-04	Çıkış Komisyonu	
GO4	2024-02-04	Son İşlem Saati	17:00
GO4	2024-02-04	Min. Satış İşlem Miktarı	1
GO4	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GO4	2024-02-04	Fonun Faiz İçeriği	
GO6	2024-02-04	Son İşlem Saati	13:30
GO6	2024-02-04	Fonun Risk Değeri	2
GO6	2024-02-04	Kodu	GO6
GO6	2024-02-04	Fonun Faiz İçeriği	
GO6	2024-02-04	Min. Alış İşlem Miktarı	1
GO6	2024-02-04	Max. Alış İşlem Miktarı	100.000.000
GO6	2024-02-04	Giriş Komisyonu	
GO6	2024-02-04	Max. Satış İşlem Miktarı	50.000.000
GO6	2024-02-04	Çıkış Komisyonu	
GO6	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GO6	2024-02-04	ISIN Kodu	TRYGRIP00066
GO6	2024-02-04	Fon Satış Valörü	0.0
GO6	2024-02-04	İşlem Başlangıç Saati	09:00
GO6	2024-02-04	Fon Alış Valörü	0.0
GO6	2024-02-04	Min. Satış İşlem Miktarı	1
GO9	2024-02-04	Fonun Faiz İçeriği	
GO9	2024-02-04	Giriş Komisyonu	
GO9	2024-02-04	Min. Satış İşlem Miktarı	1
GO9	2024-02-04	Fon Alış Valörü	1.0
GO9	2024-02-04	Kodu	GO9
GO9	2024-02-04	Min. Alış İşlem Miktarı	1
GO9	2024-02-04	Max. Satış İşlem Miktarı	
GO9	2024-02-04	Fonun Risk Değeri	6
GO9	2024-02-04	Son İşlem Saati	17:45
GO9	2024-02-04	Çıkış Komisyonu	
GO9	2024-02-04	İşlem Başlangıç Saati	09:00
GO9	2024-02-04	Fon Satış Valörü	2.0
GO9	2024-02-04	Max. Alış İşlem Miktarı	
GO9	2024-02-04	ISIN Kodu	TRYGRIP00181
GO9	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GOH	2024-02-04	Min. Satış İşlem Miktarı	1
GOH	2024-02-04	Kodu	GOH
GOH	2024-02-04	Giriş Komisyonu	
GOH	2024-02-04	Fon Alış Valörü	1.0
GOH	2024-02-04	ISIN Kodu	TRYGAPO00524
GOH	2024-02-04	Çıkış Komisyonu	
GOH	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GOH	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GOH	2024-02-04	Min. Alış İşlem Miktarı	1
GOH	2024-02-04	Fonun Risk Değeri	
GOH	2024-02-04	Fon Satış Valörü	2.0
GOH	2024-02-04	Son İşlem Saati	17:45
GOH	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GOH	2024-02-04	İşlem Başlangıç Saati	09:00
GOH	2024-02-04	Fonun Faiz İçeriği	
GPA	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999.999
GPA	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999
GPA	2024-02-04	Fon Satış Valörü	2.0
GPA	2024-02-04	Çıkış Komisyonu	
GPA	2024-02-04	Min. Satış İşlem Miktarı	1
GPA	2024-02-04	Min. Alış İşlem Miktarı	1
GPA	2024-02-04	ISIN Kodu	TRYGAPO00052
GPA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPA	2024-02-04	Fon Alış Valörü	1.0
GPA	2024-02-04	İşlem Başlangıç Saati	09:00
GPA	2024-02-04	Fonun Risk Değeri	5
GPA	2024-02-04	Son İşlem Saati	17:45
GPA	2024-02-04	Giriş Komisyonu	
GPA	2024-02-04	Kodu	GPA
GPA	2024-02-04	Fonun Faiz İçeriği	
GPB	2024-02-04	Fonun Risk Değeri	3
GPB	2024-02-04	Max. Satış İşlem Miktarı	9.999.999.999.999
GPB	2024-02-04	Çıkış Komisyonu	
GPB	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999
GPB	2024-02-04	Min. Satış İşlem Miktarı	1
GPB	2024-02-04	Giriş Komisyonu	
GPB	2024-02-04	İşlem Başlangıç Saati	09:00
GPB	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPB	2024-02-04	ISIN Kodu	TRYGAPO00029
GPB	2024-02-04	Fonun Faiz İçeriği	
GPB	2024-02-04	Min. Alış İşlem Miktarı	1
GPB	2024-02-04	Son İşlem Saati	17:45
GPB	2024-02-04	Fon Satış Valörü	2.0
GPB	2024-02-04	Fon Alış Valörü	1.0
GPB	2024-02-04	Kodu	GPB
GPC	2024-02-04	Min. Alış İşlem Miktarı	1
GPC	2024-02-04	İşlem Başlangıç Saati	09:00
GPC	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GPC	2024-02-04	Min. Satış İşlem Miktarı	1
GPC	2024-02-04	Fonun Faiz İçeriği	
GPC	2024-02-04	Çıkış Komisyonu	
GPC	2024-02-04	Son İşlem Saati	17:45
GPC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPC	2024-02-04	Fon Alış Valörü	1.0
GPC	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GPC	2024-02-04	ISIN Kodu	TRYGAPO00136
GPC	2024-02-04	Kodu	GPC
GPC	2024-02-04	Fonun Risk Değeri	
GPC	2024-02-04	Giriş Komisyonu	
GPC	2024-02-04	Fon Satış Valörü	2.0
GPF	2024-02-04	İşlem Başlangıç Saati	09:00
GPF	2024-02-04	ISIN Kodu	TRYGAPO00011
GPF	2024-02-04	Kodu	GPF
GPF	2024-02-04	Çıkış Komisyonu	
GPF	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999
GPF	2024-02-04	Fon Alış Valörü	1.0
GPF	2024-02-04	Min. Satış İşlem Miktarı	1
GPF	2024-02-04	Giriş Komisyonu	
GPF	2024-02-04	Fonun Risk Değeri	
GPF	2024-02-04	Max. Satış İşlem Miktarı	9.999.999.999.999
GPF	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPF	2024-02-04	Son İşlem Saati	17:45
GPF	2024-02-04	Fonun Faiz İçeriği	
GPF	2024-02-04	Min. Alış İşlem Miktarı	1
GPF	2024-02-04	Fon Satış Valörü	1.0
GPG	2024-02-04	Kodu	GPG
GPG	2024-02-04	Giriş Komisyonu	
GPG	2024-02-04	Çıkış Komisyonu	
GPG	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPG	2024-02-04	Fon Satış Valörü	2.0
GPG	2024-02-04	ISIN Kodu	TRYGEPO00039
GPG	2024-02-04	Fon Alış Valörü	1.0
GPG	2024-02-04	Min. Satış İşlem Miktarı	100
GPG	2024-02-04	Max. Satış İşlem Miktarı	
GPG	2024-02-04	Max. Alış İşlem Miktarı	
GPG	2024-02-04	İşlem Başlangıç Saati	09:00
GPG	2024-02-04	Son İşlem Saati	17:45
GPG	2024-02-04	Min. Alış İşlem Miktarı	100
GPG	2024-02-04	Fonun Risk Değeri	7
GPG	2024-02-04	Fonun Faiz İçeriği	
GPI	2024-02-04	ISIN Kodu	TRYGAPO00037
GPI	2024-02-04	Fon Alış Valörü	1.0
GPI	2024-02-04	Fon Satış Valörü	2.0
GPI	2024-02-04	Fonun Faiz İçeriği	
GPI	2024-02-04	Fonun Risk Değeri	3
GPI	2024-02-04	Min. Alış İşlem Miktarı	1
GPI	2024-02-04	Min. Satış İşlem Miktarı	1
GPI	2024-02-04	Kodu	GPI
GPI	2024-02-04	Son İşlem Saati	17:45
GPI	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999
GPI	2024-02-04	İşlem Başlangıç Saati	09:00
GPI	2024-02-04	Max. Satış İşlem Miktarı	9.999.999.999.999
GPI	2024-02-04	Çıkış Komisyonu	
GPI	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPI	2024-02-04	Giriş Komisyonu	
GPL	2024-02-04	Kodu	GPL
GPL	2024-02-04	ISIN Kodu	TRYGAPO00060
GPL	2024-02-04	Min. Alış İşlem Miktarı	1
GPL	2024-02-04	Min. Satış İşlem Miktarı	1
GPL	2024-02-04	Max. Satış İşlem Miktarı	999.999.999.999.999
GPL	2024-02-04	Çıkış Komisyonu	
GPL	2024-02-04	Fon Satış Valörü	2.0
GPL	2024-02-04	Son İşlem Saati	17:45
GPL	2024-02-04	Giriş Komisyonu	
GPL	2024-02-04	İşlem Başlangıç Saati	09:00
GPL	2024-02-04	Fon Alış Valörü	1.0
GPL	2024-02-04	Fonun Risk Değeri	
GPL	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999.999
GPL	2024-02-04	Fonun Faiz İçeriği	
GPL	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPT	2024-02-04	Fonun Faiz İçeriği	
GPT	2024-02-04	Fon Satış Valörü	3.0
GPT	2024-02-04	Giriş Komisyonu	
GPT	2024-02-04	Çıkış Komisyonu	
GPT	2024-02-04	Fon Alış Valörü	1.0
GPT	2024-02-04	Min. Satış İşlem Miktarı	1
GPT	2024-02-04	Son İşlem Saati	17:45
GPT	2024-02-04	Max. Alış İşlem Miktarı	
GPT	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPT	2024-02-04	Kodu	GPT
GPT	2024-02-04	İşlem Başlangıç Saati	09:00
GPT	2024-02-04	Min. Alış İşlem Miktarı	1
GPT	2024-02-04	Fonun Risk Değeri	6
GPT	2024-02-04	Max. Satış İşlem Miktarı	
GPT	2024-02-04	ISIN Kodu	TRYMKFT00356
GPU	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999.999
GPU	2024-02-04	Max. Satış İşlem Miktarı	9.999.999.999.999
GPU	2024-02-04	Fonun Risk Değeri	4
GPU	2024-02-04	Min. Alış İşlem Miktarı	1
GPU	2024-02-04	Çıkış Komisyonu	
GPU	2024-02-04	Son İşlem Saati	17:45
GPU	2024-02-04	İşlem Başlangıç Saati	09:00
GPU	2024-02-04	ISIN Kodu	TRYGAPO00045
GPU	2024-02-04	Kodu	GPU
GPU	2024-02-04	Fon Satış Valörü	2.0
GPU	2024-02-04	Fonun Faiz İçeriği	
GPU	2024-02-04	Giriş Komisyonu	
GPU	2024-02-04	Fon Alış Valörü	1.0
GPU	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GPU	2024-02-04	Min. Satış İşlem Miktarı	1
GSM	2024-02-04	Max. Satış İşlem Miktarı	
GSM	2024-02-04	İşlem Başlangıç Saati	09:00
GSM	2024-02-04	Min. Alış İşlem Miktarı	1
GSM	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GSM	2024-02-04	Min. Satış İşlem Miktarı	1
GSM	2024-02-04	Max. Alış İşlem Miktarı	5.000.000
GSM	2024-02-04	ISIN Kodu	TRYGEPO00070
GSM	2024-02-04	Fon Alış Valörü	1.0
GSM	2024-02-04	Giriş Komisyonu	
GSM	2024-02-04	Son İşlem Saati	17:45
GSM	2024-02-04	Çıkış Komisyonu	
GSM	2024-02-04	Fonun Risk Değeri	6
GSM	2024-02-04	Kodu	GSM
GSM	2024-02-04	Fonun Faiz İçeriği	
GSM	2024-02-04	Fon Satış Valörü	2.0
GSP	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GSP	2024-02-04	ISIN Kodu	TRMGLAWWWWW2
GSP	2024-02-04	Kodu	GSP
GSP	2024-02-04	Fon Alış Valörü	1.0
GSP	2024-02-04	Max. Satış İşlem Miktarı	
GSP	2024-02-04	Fon Satış Valörü	2.0
GSP	2024-02-04	Min. Satış İşlem Miktarı	1
GSP	2024-02-04	Max. Alış İşlem Miktarı	10.000.000.000
GSP	2024-02-04	Çıkış Komisyonu	
GSP	2024-02-04	Fonun Faiz İçeriği	
GSP	2024-02-04	İşlem Başlangıç Saati	09:00
GSP	2024-02-04	Fonun Risk Değeri	6
GSP	2024-02-04	Giriş Komisyonu	
GSP	2024-02-04	Min. Alış İşlem Miktarı	1
GSP	2024-02-04	Son İşlem Saati	13:30
GTA	2024-02-04	Fon Satış Valörü	1.0
GTA	2024-02-04	Fon Alış Valörü	1.0
GTA	2024-02-04	Max. Satış İşlem Miktarı	999.999.999.999.999
GTA	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999.999
GTA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GTA	2024-02-04	ISIN Kodu	TRYGRAN00027
GTA	2024-02-04	İşlem Başlangıç Saati	09:00
GTA	2024-02-04	Kodu	GTA
GTA	2024-02-04	Fonun Risk Değeri	
GTA	2024-02-04	Giriş Komisyonu	
GTA	2024-02-04	Min. Alış İşlem Miktarı	1
GTA	2024-02-04	Çıkış Komisyonu	
GTA	2024-02-04	Son İşlem Saati	17:45
GTA	2024-02-04	Min. Satış İşlem Miktarı	1
GTA	2024-02-04	Fonun Faiz İçeriği	
GTF	2024-02-04	Son İşlem Saati	13:30
GTF	2024-02-04	ISIN Kodu	TRMBD1WWWWW5
GTF	2024-02-04	Min. Satış İşlem Miktarı	1
GTF	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GTF	2024-02-04	Kodu	GTF
GTF	2024-02-04	Fonun Faiz İçeriği	
GTF	2024-02-04	Max. Satış İşlem Miktarı	
GTF	2024-02-04	Min. Alış İşlem Miktarı	1
GTF	2024-02-04	Fon Alış Valörü	1.0
GTF	2024-02-04	Fonun Risk Değeri	1
GTF	2024-02-04	Max. Alış İşlem Miktarı	200.000.000
GTF	2024-02-04	Çıkış Komisyonu	
GTF	2024-02-04	Fon Satış Valörü	1.0
GTF	2024-02-04	Giriş Komisyonu	
GTF	2024-02-04	İşlem Başlangıç Saati	09:00
GTM	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GTM	2024-02-04	Fon Alış Valörü	1.0
GTM	2024-02-04	Fonun Faiz İçeriği	
GTM	2024-02-04	Kodu	GTM
GTM	2024-02-04	Fonun Risk Değeri	
GTM	2024-02-04	Son İşlem Saati	17:45
GTM	2024-02-04	Min. Satış İşlem Miktarı	1
GTM	2024-02-04	İşlem Başlangıç Saati	09:00
GTM	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GTM	2024-02-04	Min. Alış İşlem Miktarı	1
GTM	2024-02-04	Fon Satış Valörü	2.0
GTM	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GTM	2024-02-04	ISIN Kodu	TRYGAPO01050
GTM	2024-02-04	Giriş Komisyonu	
GTM	2024-02-04	Çıkış Komisyonu	
GTY	2024-02-04	Fonun Risk Değeri	
GTY	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GTY	2024-02-04	Son İşlem Saati	17:45
GTY	2024-02-04	Fon Satış Valörü	3.0
GTY	2024-02-04	Çıkış Komisyonu	
GTY	2024-02-04	ISIN Kodu	TRYGAPO00425
GTY	2024-02-04	Fonun Faiz İçeriği	
GTY	2024-02-04	Min. Satış İşlem Miktarı	1
GTY	2024-02-04	Min. Alış İşlem Miktarı	1
GTY	2024-02-04	Fon Alış Valörü	1.0
GTY	2024-02-04	İşlem Başlangıç Saati	09:00
GTY	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GTY	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GTY	2024-02-04	Kodu	GTY
GTY	2024-02-04	Giriş Komisyonu	
GTZ	2024-02-04	Min. Alış İşlem Miktarı	1
GTZ	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GTZ	2024-02-04	Min. Satış İşlem Miktarı	1
GTZ	2024-02-04	Giriş Komisyonu	
GTZ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GTZ	2024-02-04	ISIN Kodu	TRYGAPO00391
GTZ	2024-02-04	Kodu	GTZ
GTZ	2024-02-04	Fonun Faiz İçeriği	
GTZ	2024-02-04	Son İşlem Saati	17:45
GTZ	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999
GTZ	2024-02-04	Fonun Risk Değeri	
GTZ	2024-02-04	Fon Alış Valörü	1.0
GTZ	2024-02-04	İşlem Başlangıç Saati	09:00
GTZ	2024-02-04	Çıkış Komisyonu	
GTZ	2024-02-04	Fon Satış Valörü	3.0
GUH	2024-02-04	Fon Alış Valörü	1.0
GUH	2024-02-04	Min. Satış İşlem Miktarı	1
GUH	2024-02-04	Çıkış Komisyonu	
GUH	2024-02-04	Fonun Risk Değeri	
GUH	2024-02-04	İşlem Başlangıç Saati	09:00
GUH	2024-02-04	Min. Alış İşlem Miktarı	1
GUH	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
GUH	2024-02-04	Son İşlem Saati	17:45
GUH	2024-02-04	Max. Satış İşlem Miktarı	99.999.999.999.999
GUH	2024-02-04	Fon Satış Valörü	3.0
GUH	2024-02-04	Kodu	GUH
GUH	2024-02-04	ISIN Kodu	TRYGRAN00571
GUH	2024-02-04	Giriş Komisyonu	
GUH	2024-02-04	Max. Alış İşlem Miktarı	99.999.999.999
GUH	2024-02-04	Fonun Faiz İçeriği	
GUM	2024-02-04	Min. Alış İşlem Miktarı	1
GUM	2024-02-04	İşlem Başlangıç Saati	09:00
GUM	2024-02-04	Fon Satış Valörü	3.0
GUM	2024-02-04	ISIN Kodu	TRYAKPO00898
GUM	2024-02-04	Min. Satış İşlem Miktarı	1
GUM	2024-02-04	Fonun Faiz İçeriği	
GUM	2024-02-04	Kodu	GUM
GUM	2024-02-04	Fonun Risk Değeri	6
GUM	2024-02-04	Çıkış Komisyonu	
GUM	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
GUM	2024-02-04	Giriş Komisyonu	
